"species","n_filtered","n_background","filtered_csv","pa_csv","mcp_shapefile"
"Persea borbonia",343,10000,"yes","yes","yes"
"Petroselinum crispum",80,10000,"yes","yes","yes"
"Peucedanum cervaria",0,0,"no","no","no"
"Peucedanum officinale",0,0,"no","no","no"
"Peucedanum oreoselinum",2,0,"yes","no","no"
"Pimpinella saxifraga",54,10000,"yes","yes","yes"
"Platanus racemosa",988,10000,"yes","yes","yes"
"Platanus wrightii",241,10000,"yes","yes","yes"
"Populus angustifolia",244,10000,"yes","yes","yes"
"Populus balsamifera",1539,10000,"yes","yes","yes"
"Populus deltoides",4327,10000,"yes","yes","yes"
"Populus grandidentata",2891,10000,"yes","yes","yes"
"Populus tremuloides",7436,10000,"yes","yes","yes"
"Populus trichocarpa",1158,10000,"yes","yes","yes"
"Prunus americana",677,10000,"yes","yes","yes"
"Prunus armeniaca",316,10000,"yes","yes","yes"
"Prunus caroliniana",1352,10000,"yes","yes","yes"
"Prunus cerasus",76,10000,"yes","yes","yes"
"Prunus domestica",331,10000,"yes","yes","yes"
"Prunus emarginata",734,10000,"yes","yes","yes"
"Prunus ilicifolia",971,9787,"yes","yes","yes"
"Prunus pensylvanica",1365,10000,"yes","yes","yes"
"Prunus persica",2295,10000,"yes","yes","yes"
"Prunus serotina",9805,10000,"yes","yes","yes"
"Prunus virginiana",5991,10000,"yes","yes","yes"
"Pseudocymopterus montanus",88,10000,"yes","yes","yes"
"Ptelea crenulata",73,10000,"yes","yes","yes"
"Ptelea trifoliata",1615,10000,"yes","yes","yes"
"Pteryxia hendersonii",25,0,"yes","no","no"
"Pteryxia petraea",59,10000,"yes","yes","yes"
"Pteryxia terebinthina",114,10000,"yes","yes","yes"
"Ptilimnium capillaceum",516,10000,"yes","yes","yes"
"Frangula californica",96,10000,"yes","yes","yes"
"Ridolfia segetum",0,0,"no","no","no"
"Ruta angustifolia",0,0,"no","no","no"
"Ruta chalepensis",59,10000,"yes","yes","yes"
"Ruta graveolens",130,10000,"yes","yes","yes"
"Salix babylonica",483,10000,"yes","yes","yes"
"Salix exigua",1335,10000,"yes","yes","yes"
"Salix hookeriana",135,3193,"yes","yes","yes"
"Salix lasiandra",254,10000,"yes","yes","yes"
"Salix lasiolepis",1020,10000,"yes","yes","yes"
"Salix scouleriana",438,10000,"yes","yes","yes"
"Sassafras albidum",8954,10000,"yes","yes","yes"
"Seseli libanotis",2,0,"yes","no","no"
"Seseli varium",0,0,"no","no","no"
"Silaum silaus",0,0,"yes","no","no"
"Sium suave",1030,10000,"yes","yes","yes"
"Selinum carvifolia",0,0,"no","no","no"
"Sorbus americana",951,10000,"yes","yes","yes"
"Spermolepis divaricata",66,10000,"yes","yes","yes"
"Sphenosciadium capitellatum",61,10000,"yes","yes","yes"
"Syringa vulgaris",5818,10000,"yes","yes","yes"
"Taenidia integerrima",462,10000,"yes","yes","yes"
"Tauschia arguta",245,3935,"yes","yes","yes"
"Tauschia parishii",96,4290,"yes","yes","yes"
"Thamnosma montana",452,10000,"yes","yes","yes"
"Thamnosma texana",258,10000,"yes","yes","yes"
"Thaspium barbinode",185,10000,"yes","yes","yes"
"Tilia americana",4679,10000,"yes","yes","yes"
"Trinia glauca",0,0,"no","no","no"
"Vauquelinia californica",61,10000,"yes","yes","yes"
"Zanthoxylum americanum",1279,10000,"yes","yes","yes"
"Zanthoxylum clava-herculis",1427,10000,"yes","yes","yes"
"Zanthoxylum fagara",485,10000,"yes","yes","yes"
"Zizia aptera",501,10000,"yes","yes","yes"
"Zizia aurea",2329,10000,"yes","yes","yes"
