gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3112962756	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77530134	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.599998	-122.059998	90.0						2021-05-05T17:01:34	5	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77530134		tanya_nair	2021-05-06T00:02:18	CC_BY_NC_4_0	tanya_nair	tanya_nair			2021-05-18T12:29:09.337Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112932919	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77684950	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.729422	-123.143922	4.0						2021-05-04T09:37:33	4	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77684950		jareddodson	2021-05-07T00:25:41	CC_BY_NC_4_0	jareddodson	jareddodson			2021-05-18T12:30:44.584Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112925181	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77186082	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.296135	-122.34181	4.0						2021-05-03T20:10:02	3	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77186082		jerrys99	2021-05-04T03:13:26	CC_BY_NC_4_0	jerrys99	jerrys99			2021-05-18T12:51:40.632Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112922033	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77063328	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.752915	-122.368114	11.0						2021-05-03T13:21:37	3	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77063328		caitlinnoahsam	2021-05-03T20:23:18	CC_BY_NC_4_0	caitlinnoahsam	caitlinnoahsam			2021-05-18T12:30:11.476Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112900346	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76454592	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.026761	-122.478346	9.0						2021-05-01T08:16:41	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76454592		Zach Hawn	2021-05-02T07:32:22	CC_BY_NC_4_0	Zach Hawn	Zach Hawn			2021-05-18T12:28:12.342Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112849770	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76839560	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.269005	-124.922737							2021-05-01T12:50:00	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76839560		jey42	2021-05-03T04:37:58	CC_BY_NC_4_0	jey42	jey42			2021-05-18T12:51:49.558Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112746935	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76980853	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	49.36603	-123.263803	4.0						2021-05-03T09:14:49	3	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76980853		botanybum	2021-05-03T16:15:57	CC_BY_NC_4_0	botanybum	botanybum			2021-05-18T12:51:46.596Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112701268	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76360637	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Washington	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.240886	-122.48964	5.0						2021-05-01T12:39:47	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76360637		Brandon Hawn	2021-05-02T00:39:38	CC_BY_NC_4_0	Brandon Hawn	Brandon Hawn			2021-05-18T12:51:35.937Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112666621	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/76692035	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		US		Idaho	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.33705	-116.38518	5.0						2021-05-01T11:35:00	1	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	76692035		Derek Antonelli	2021-05-02T20:58:46	CC_BY_NC_4_0	Derek Antonelli	Derek Antonelli			2021-05-18T12:29:24.909Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
3112626284	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77220923	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Prunus	Prunus emarginata		SPECIES	Prunus emarginata (Douglas ex Hook.) Walp.	Prunus emarginata		CA		British Columbia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.120567	-125.227996	38.0						2021-05-02T12:52:00	2	5	2021	3020783	3020783	HUMAN_OBSERVATION	iNaturalist	Observations	77220923		Eva Ullstrom	2021-05-04T06:18:13	CC_BY_NC_4_0	Eva Ullstrom	Eva Ullstrom			2021-05-18T12:03:16.244Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
