"species","n_filtered","n_background","filtered_csv","pa_csv","mcp_shapefile"
"Persea borbonia",398,10000,"yes","yes","yes"
"Petroselinum crispum",66,10000,"yes","yes","yes"
"Peucedanum cervaria",0,0,"no","no","no"
"Peucedanum officinale",0,0,"no","no","no"
"Peucedanum oreoselinum",2,0,"yes","no","no"
"Pimpinella saxifraga",64,10000,"yes","yes","yes"
"Platanus racemosa",1108,10000,"yes","yes","yes"
"Platanus wrightii",278,10000,"yes","yes","yes"
"Populus angustifolia",339,10000,"yes","yes","yes"
"Populus balsamifera",1806,10000,"yes","yes","yes"
"Populus deltoides",5199,10000,"yes","yes","yes"
"Populus grandidentata",3261,10000,"yes","yes","yes"
"Populus tremuloides",9820,10000,"yes","yes","yes"
"Populus trichocarpa",1474,10000,"yes","yes","yes"
"Prunus americana",796,10000,"yes","yes","yes"
"Prunus armeniaca",394,10000,"yes","yes","yes"
"Prunus caroliniana",1391,10000,"yes","yes","yes"
"Prunus cerasus",104,10000,"yes","yes","yes"
"Prunus domestica",237,10000,"yes","yes","yes"
"Prunus emarginata",829,10000,"yes","yes","yes"
"Prunus ilicifolia",1070,10000,"yes","yes","yes"
"Prunus pensylvanica",1705,10000,"yes","yes","yes"
"Prunus persica",3259,10000,"yes","yes","yes"
"Prunus serotina",9959,10000,"yes","yes","yes"
"Prunus virginiana",3931,10000,"yes","yes","yes"
"Pseudocymopterus montanus",123,10000,"yes","yes","yes"
"Ptelea crenulata",75,10000,"yes","yes","yes"
"Ptelea trifoliata",1871,10000,"yes","yes","yes"
"Pteryxia hendersonii",29,0,"yes","no","no"
"Pteryxia petraea",66,10000,"yes","yes","yes"
"Pteryxia terebinthina",147,10000,"yes","yes","yes"
"Ptilimnium capillaceum",592,10000,"yes","yes","yes"
"Frangula californica",97,10000,"yes","yes","yes"
"Ridolfia segetum",0,0,"no","no","no"
"Ruta angustifolia",0,0,"no","no","no"
"Ruta chalepensis",57,10000,"yes","yes","yes"
"Ruta graveolens",150,10000,"yes","yes","yes"
"Salix babylonica",476,10000,"yes","yes","yes"
"Salix exigua",1537,10000,"yes","yes","yes"
"Salix hookeriana",167,10000,"yes","yes","yes"
"Salix lasiandra",295,10000,"yes","yes","yes"
"Salix lasiolepis",1129,10000,"yes","yes","yes"
"Salix scouleriana",512,10000,"yes","yes","yes"
"Sassafras albidum",11566,10000,"yes","yes","yes"
"Seseli libanotis",1,0,"yes","no","no"
"Seseli varium",0,0,"no","no","no"
"Silaum silaus",0,0,"yes","no","no"
"Sium suave",1312,10000,"yes","yes","yes"
"Selinum carvifolia",0,0,"no","no","no"
"Sorbus americana",1033,10000,"yes","yes","yes"
"Spermolepis divaricata",75,10000,"yes","yes","yes"
"Sphenosciadium capitellatum",67,10000,"yes","yes","yes"
"Syringa vulgaris",7121,10000,"yes","yes","yes"
"Taenidia integerrima",676,10000,"yes","yes","yes"
"Tauschia arguta",258,4063,"yes","yes","yes"
"Tauschia parishii",106,5275,"yes","yes","yes"
"Thamnosma montana",473,10000,"yes","yes","yes"
"Thamnosma texana",287,10000,"yes","yes","yes"
"Thaspium barbinode",235,10000,"yes","yes","yes"
"Tilia americana",5673,10000,"yes","yes","yes"
"Trinia glauca",0,0,"no","no","no"
"Vauquelinia californica",69,10000,"yes","yes","yes"
"Zanthoxylum americanum",1692,10000,"yes","yes","yes"
"Zanthoxylum clava-herculis",1643,10000,"yes","yes","yes"
"Zanthoxylum fagara",604,10000,"yes","yes","yes"
"Zizia aptera",650,10000,"yes","yes","yes"
"Zizia aurea",2706,10000,"yes","yes","yes"
