genus,species,gbif_name,accepted_name,notes,gbif_count,gbif_date,include
Heracleum,sphondylium,Heracleum sphondylium subsp. sibiricum,Heracleum sphondylium,European species,14,2022-05-18,FALSE
Holodiscus,discolor,Holodiscus discolor,Holodiscus discolor,,10660,2022-05-18,TRUE
Laserpitium,halleri,Laserpitium halleri,Laserpitium halleri,Mediterranean species,0,2022-05-18,FALSE
Laserpitium,latifolium,Laserpitium latifolium,Laserpitium latifolium,European species,0,2022-05-18,FALSE
Levisticum,officinale,Levisticum officinale,Levisticum officinale,Eurasian species,73,2022-05-18,FALSE
Ligusticum,grayi,Ligusticum grayi,Ligusticum grayi,,647,2022-05-18,TRUE
Ligusticum,porteri,Ligusticum porteri,Ligusticum porteri,,434,2022-05-18,TRUE
Ligusticum,scoticum,Ligusticum scoticum,Ligusticum scoticum,,950,2022-05-18,TRUE
Ligustrum,lucidum,Ligustrum lucidum,Ligustrum lucidum,,5310,2022-05-18,TRUE
Ligustrum,vulgare,Ligustrum vulgare,Ligustrum vulgare,,1319,2022-05-18,TRUE
Lindera,benzoin,Lindera benzoin,Lindera benzoin,,14250,2022-05-18,TRUE
Liriodendron,tulipifera,Liriodendron tulipifera,Liriodendron tulipifera,,33836,2022-05-18,TRUE
Lomatium,californicum,Lomatium californicum,Lomatium californicum,,408,2022-05-18,TRUE
Lomatium,dasycarpum,Lomatium dasycarpum,Lomatium dasycarpum,,1665,2022-05-18,TRUE
Lomatium,dissectum,Lomatium dissectum,Lomatium dissectum,,683,2022-05-18,TRUE
Lomatium,eastwoodiae,Lomatium eastwoodiae,Lomatium eastwoodiae,,36,2022-05-18,TRUE
Lomatium,grayi,Lomatium grayi,Lomatium grayi,,658,2022-05-18,TRUE
Lomatium,junceum,Lomatium junceum,Lomatium junceum,Fairly restricted range in Utah,24,2022-05-18,TRUE
Lomatium,latilobum,Lomatium latilobum,Lomatium latilobum,Fairly restricted range in Utah and Colorado,53,2022-05-18,TRUE
Lomatium,lucidum,Lomatium lucidum,Lomatium lucidum,,460,2022-05-18,TRUE
Lomatium,marginatum,Lomatium marginatum,Lomatium marginatum,,184,2022-05-18,TRUE
Lomatium,nuttallii,Lomatium nuttallii,Lomatium nuttallii,,81,2022-05-18,TRUE
Lomatium,parryi,Lomatium parryi,Lomatium parryi,,275,2022-05-18,TRUE
Lomatium,scabrum,Lomatium scabrum,Lomatium scabrum,,124,2022-05-18,TRUE
Lomatium,triternatum,Lomatium triternatum,Lomatium triternatum,,1473,2022-05-18,TRUE
Lomatium,utriculatum,Lomatium utriculatum,Lomatium utriculatum,,2722,2022-05-18,TRUE
Magnolia,acuminata,Magnolia acuminata,Magnolia acuminata,,1332,2022-05-18,TRUE
Magnolia,virginiana,Magnolia virginiana,Magnolia virginiana,,2516,2022-05-18,TRUE
Malus,domestica,Malus domestica,Malus domestica,,831,2022-05-18,TRUE
Meum,athamanticum,Meum athamanticum,Meum athamanticum,European species,0,2022-05-18,FALSE
Oenanthe,sarmentosa,Oenanthe sarmentosa,Oenanthe sarmentosa,,1360,2022-05-18,TRUE
Osmorhiza,longistylis,Osmorhiza longistylis,Osmorhiza longistylis,,2790,2022-05-18,TRUE
