gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3113598457	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78304802	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.161291	-110.619566	5.0						2021-05-10T18:44:00	10	5	2021	3001749	3001749	HUMAN_OBSERVATION	iNaturalist	Observations	78304802		Ethan	2021-05-11T02:48:25	CC_BY_NC_4_0	kmockler	kmockler			2021-05-18T12:51:47.432Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3112575055	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/77104767	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica		US		New Mexico	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	35.119654	-106.65729	5.0						2021-05-03T16:07:35	3	5	2021	3001749	3001749	HUMAN_OBSERVATION	iNaturalist	Observations	77104767		Mary Kinney	2021-05-03T22:33:21	CC_BY_NC_4_0	Mary Kinney	Mary Kinney			2021-05-18T12:28:44.087Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3097307426	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/50742740	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica	californica	SUBSPECIES	Vauquelinia californica subsp. californica	Vauquelinia californica californica		US		Arizona	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	31.672245	-110.940858							2020-06-22T08:24:00	22	6	2020	7219569	3001749	HUMAN_OBSERVATION	iNaturalist	Observations	50742740		Steve Jones	2020-06-24T04:59:32	CC_BY_NC_4_0	R Stringham	R Stringham			2021-05-18T12:25:29.212Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3091300460	e5d9d04e-ffd1-4395-9b10-76034f0c619c	f905e783-32b0-4383-8c89-9fe6ad17509f	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Tonto National Forest, Superstition Wilderness Area; first branch to SW of First Water Creek, ca. 1 mi SW of First Water Trailhead, Forest Service Road 104	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	33.467519	-111.451471			731.0				1991-02-05T00:00:00	5	2	1991	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00057272	18			CC_BY_4_0	Deaver Herbarium	K.C. Rice; L.R. Landrum			2021-04-26T17:41:16.414Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091300459	e5d9d04e-ffd1-4395-9b10-76034f0c619c	2bca4083-8d98-4b6b-95f9-2e46f32a74ba	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	BLM, Coyote Mountains	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	31.9942	-111.4622	1250.0		1022.5	17.5							3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00067056	614			CC_BY_4_0	Deaver Herbarium	J.J. Buegge; A. Salywon, A. Trauth-Nare			2021-04-26T17:41:16.413Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091294202	e5d9d04e-ffd1-4395-9b10-76034f0c619c	4cef0e67-be82-442b-8378-89f7277173cd	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Peralta Trail, Superstition Mountains	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	33.41667	-111.41667			914.0				1994-11-14T00:00:00	14	11	1994	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00064060	s.n.			CC_BY_4_0	Deaver Herbarium	P. Hogan; S. Green			2021-04-26T17:41:15.392Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091266684	e5d9d04e-ffd1-4395-9b10-76034f0c619c	59b4ebb6-3de5-454c-905e-9e67d1b24c43	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Ajo Mountains, 25 mi S of Ajo in Alamo Canyon	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	32.00886	-112.86			609.0				1958-12-30T00:00:00	30	12	1958	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00008863	s.n.			CC_BY_4_0	Deaver Herbarium	D. Jones			2021-04-26T17:41:10.610Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091266681	e5d9d04e-ffd1-4395-9b10-76034f0c619c	a523eec9-e6a8-4ee0-b090-611243b9887e	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Ajo Mountains, SE upper part of Alamo Canyon	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	32.4175	-110.92361							1947-03-23T00:00:00	23	3	1947	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00078758	s.n.	H.S. Haskell		CC_BY_4_0	Deaver Herbarium	A.A. Phillips			2021-04-26T17:41:10.610Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091266678	e5d9d04e-ffd1-4395-9b10-76034f0c619c	9cee3037-5a4e-4465-be78-d8faf61963c6	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Route 88, 9.4 mi N of Apache Junction	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	33.516	-111.46							1970-07-27T00:00:00	27	7	1970	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00020506	s.n.			CC_BY_4_0	Deaver Herbarium	J.H. Weber & L. McGill			2021-04-26T17:41:10.610Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3091266675	e5d9d04e-ffd1-4395-9b10-76034f0c619c	27c4affa-533d-4865-a1ba-e5b11bc7a76b	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Vauquelinia	Vauquelinia californica		SPECIES	Vauquelinia californica (Torr.) Sarg.	Vauquelinia californica	(Torr.) Sarg.	US	Mount Lemmon Rd, Tucson	Arizona	PRESENT		218f5cbc-bc3e-4a8e-84ee-9281a54cd9e3	32.22167	-110.92583							1958-06-25T00:00:00	25	6	1958	3001749	3001749	PRESERVED_SPECIMEN	ASC		ASC00008893	2022			CC_BY_4_0	Deaver Herbarium	C.C. Michaels			2021-04-26T17:41:10.609Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
