"insect","tune.args","fold","auc.val","cbi.val","IMAE","or.10p","thr","OR.mss","TSS"
"Papilio eurymedon","fc.L_rm.3",1,0.343,-0.077,0.694,0,0.588,0.0659824046920822,0.00987966427343512
"Papilio eurymedon","fc.L_rm.3",2,0.839,0.861,0.657,0.147,0.581,0.225806451612903,0.63516611696565
"Papilio eurymedon","fc.L_rm.3",3,0.629,0.8,0.576,0,0.624,0.129032258064516,0.294859842128162
"Papilio eurymedon","fc.L_rm.3",4,0.676,0.612,0.702,0.782,0.228,0.375366568914956,0.261564016768341
"Papilio eurymedon","fc.LQ_rm.3",1,0.328,0.19,0.718,0,0.496,0.0190615835777126,0.00852462331883919
"Papilio eurymedon","fc.LQ_rm.3",2,0.864,0.928,0.75,0.163,0.465,0.217008797653959,0.696644568929582
"Papilio eurymedon","fc.LQ_rm.3",3,0.781,0.993,0.612,0,0.692,0.23900293255132,0.398762000011301
"Papilio eurymedon","fc.LQ_rm.3",4,0.74,0.9,0.727,0.767,0.247,0.429618768328446,0.35888448546765
"Papilio eurymedon","fc.H_rm.3",1,0.369,0.032,0.719,0.003,0.962,0.891495601173021,0.0947112953787035
"Papilio eurymedon","fc.H_rm.3",2,0.908,0.991,0.812,0.304,0.227,0.149560117302053,0.692709209381239
"Papilio eurymedon","fc.H_rm.3",3,0.73,0.881,0.605,0.057,0.425,0.114369501466276,0.446324140152222
"Papilio eurymedon","fc.H_rm.3",4,0.736,0.95,0.751,0.716,0.236,0.337243401759531,0.383743583056087
"Papilio eurymedon","fc.LQH_rm.3",1,0.38,-0.122,0.71,0.003,0.968,0.900293255131965,0.0928101931438972
"Papilio eurymedon","fc.LQH_rm.3",2,0.912,0.989,0.818,0.296,0.219,0.153958944281525,0.692051030780819
"Papilio eurymedon","fc.LQH_rm.3",3,0.742,0.897,0.61,0.056,0.426,0.112903225806452,0.445863633538442
"Papilio eurymedon","fc.LQH_rm.3",4,0.736,0.958,0.749,0.713,0.238,0.331378299120235,0.376051201964364
"Papilio glaucus","fc.L_rm.1",1,0.504,0.256,0.638,0.065,0.576,0.109539023277042,0.220571473960527
"Papilio glaucus","fc.L_rm.1",2,0.535,0.886,0.526,0.113,0.549,0.134185303514377,0.067008516710342
"Papilio glaucus","fc.L_rm.1",3,0.51,0.179,0.55,0.343,0.671,0.797991326181237,0.173134756590659
"Papilio glaucus","fc.L_rm.1",4,0.504,0.318,0.535,0,0.705,0.85296803652968,0.0382023946818186
"Papilio glaucus","fc.LQ_rm.1",1,0.648,0.732,0.623,0.002,0.613,0.15518028297581,0.237084910394356
"Papilio glaucus","fc.LQ_rm.1",2,0.573,0.984,0.532,0.127,0.599,0.290963030579644,0.103699890768671
"Papilio glaucus","fc.LQ_rm.1",3,0.467,-0.166,0.544,0.263,0.666,0.81784980598037,0.100340761873336
"Papilio glaucus","fc.LQ_rm.1",4,0.438,-0.279,0.531,0.026,0.748,0.915525114155251,0.0132907653793142
"Papilio glaucus","fc.H_rm.1",1,0.651,0.931,0.6,0.133,0.555,0.175262437243268,0.233577341762257
"Papilio glaucus","fc.H_rm.1",2,0.612,0.991,0.535,0.201,0.635,0.589000456412597,0.16205291437392
"Papilio glaucus","fc.H_rm.1",3,0.407,-0.919,0.553,0.195,0.715,0.975804610819448,0.0164956779197247
"Papilio glaucus","fc.H_rm.1",4,0.413,-0.963,0.514,0.132,0.079,0,0
"Papilio glaucus","fc.LQH_rm.1",1,0.651,0.931,0.6,0.133,0.555,0.175262437243268,0.233577341762257
"Papilio glaucus","fc.LQH_rm.1",2,0.612,0.991,0.535,0.201,0.635,0.589000456412597,0.16205291437392
"Papilio glaucus","fc.LQH_rm.1",3,0.405,-0.913,0.554,0.191,0.716,0.97785893631591,0.0144413524232627
"Papilio glaucus","fc.LQH_rm.1",4,0.413,-0.963,0.514,0.132,0.079,0,0
"Papilio glaucus","fc.L_rm.2",1,0.493,0.097,0.633,0.053,0.589,0.115472387037882,0.199444740033941
"Papilio glaucus","fc.L_rm.2",2,0.538,0.913,0.529,0.088,0.576,0.145139205842081,0.0679928166298289
"Papilio glaucus","fc.L_rm.2",3,0.506,0.151,0.556,0.331,0.666,0.796850034238758,0.168501265087517
"Papilio glaucus","fc.L_rm.2",4,0.512,0.376,0.535,0,0.681,0.682876712328767,0.0433382089580228
"Papilio glaucus","fc.LQ_rm.2",1,0.617,0.573,0.623,0,0.668,0.431538110451848,0.198296143691798
"Papilio glaucus","fc.LQ_rm.2",2,0.574,0.981,0.534,0.123,0.602,0.269055225924235,0.104189156098236
"Papilio glaucus","fc.LQ_rm.2",3,0.454,-0.225,0.551,0.232,0.668,0.863958000456517,0.0696319899188442
"Papilio glaucus","fc.LQ_rm.2",4,0.441,-0.233,0.531,0.011,0.736,0.914840182648402,0.0156868536281212
"Papilio glaucus","fc.H_rm.2",1,0.643,0.895,0.595,0.118,0.661,0.615015974440895,0.206807229978995
"Papilio glaucus","fc.H_rm.2",2,0.606,0.998,0.533,0.175,0.618,0.509128251939754,0.151686354801819
"Papilio glaucus","fc.H_rm.2",3,0.401,-0.955,0.558,0.218,0.714,0.89134900707601,0.0614902614514201
"Papilio glaucus","fc.H_rm.2",4,0.422,-0.955,0.522,0.065,0.779,1,0
"Papilio glaucus","fc.LQH_rm.2",1,0.643,0.895,0.595,0.118,0.661,0.615015974440895,0.206807229978995
"Papilio glaucus","fc.LQH_rm.2",2,0.606,0.998,0.533,0.175,0.618,0.509128251939754,0.151686354801819
"Papilio glaucus","fc.LQH_rm.2",3,0.401,-0.955,0.558,0.218,0.714,0.891577265464506,0.0612620030629243
"Papilio glaucus","fc.LQH_rm.2",4,0.422,-0.955,0.522,0.065,0.779,1,0
"Papilio glaucus","fc.L_rm.3",1,0.476,-0.101,0.627,0.034,0.617,0.184618895481515,0.142729170816827
"Papilio glaucus","fc.L_rm.3",2,0.535,0.931,0.531,0.043,0.601,0.156093108169785,0.0647636334032482
"Papilio glaucus","fc.L_rm.3",3,0.511,0.13,0.562,0.304,0.667,0.802328235562657,0.17168523893205
"Papilio glaucus","fc.L_rm.3",4,0.525,0.404,0.535,0,0.68,0.685844748858447,0.0547438890607859
"Papilio glaucus","fc.LQ_rm.3",1,0.599,0.46,0.625,0,0.66,0.342081241442264,0.178636990601935
"Papilio glaucus","fc.LQ_rm.3",2,0.571,0.979,0.534,0.12,0.605,0.261068005476951,0.10023817429833
"Papilio glaucus","fc.LQ_rm.3",3,0.458,-0.202,0.555,0.232,0.668,0.868979685003424,0.0780848000783856
"Papilio glaucus","fc.LQ_rm.3",4,0.444,-0.202,0.532,0.003,0.724,0.910958904109589,0.0195681321669339
"Papilio glaucus","fc.H_rm.3",1,0.64,0.871,0.596,0.11,0.659,0.597900502053857,0.207348116730674
"Papilio glaucus","fc.H_rm.3",2,0.602,0.997,0.534,0.082,0.626,0.499087174806025,0.145926870137796
"Papilio glaucus","fc.H_rm.3",3,0.388,-0.888,0.568,0.2,0.717,0.919881305637982,0.0396952102426724
"Papilio glaucus","fc.H_rm.3",4,0.444,-0.979,0.526,0.058,0.786,1,0
"Papilio glaucus","fc.LQH_rm.3",1,0.64,0.871,0.596,0.11,0.659,0.597900502053857,0.207348116730674
"Papilio glaucus","fc.LQH_rm.3",2,0.602,0.997,0.534,0.082,0.626,0.499087174806025,0.145926870137796
"Papilio glaucus","fc.LQH_rm.3",3,0.389,-0.888,0.568,0.2,0.717,0.919881305637982,0.0396952102426724
"Papilio glaucus","fc.LQH_rm.3",4,0.444,-0.979,0.526,0.058,0.786,1,0
"Papilio indra","fc.L_rm.1",1,0.693,0.92,0.291,0.016,0.779,0.193548387096774,0.38517858107743
"Papilio indra","fc.L_rm.1",2,0.53,0.847,0.731,0.613,0.464,0.758064516129032,0.169941243410205
"Papilio indra","fc.L_rm.1",3,0.699,0.532,0.265,0,0.804,0.290322580645161,0.382472682676746
"Papilio indra","fc.L_rm.1",4,0.293,-0.936,0.431,0,0.211,0,0.00855365474339043
"Papilio indra","fc.LQ_rm.1",1,0.726,0.633,0.328,0.032,0.77,0.129032258064516,0.379342951315718
"Papilio indra","fc.LQ_rm.1",2,0.629,0.725,0.682,0.306,0.351,0.354838709677419,0.240193687730788
"Papilio indra","fc.LQ_rm.1",3,0.525,-0.002,0.473,0.21,0.486,0.338709677419355,0.107223635139075
"Papilio indra","fc.LQ_rm.1",4,0.39,-0.445,0.526,0.131,0.188,0.0327868852459017,0.116124467786758
"Papilio indra","fc.H_rm.1",1,0.664,0.533,0.349,0.065,0.915,0.193548387096774,0.372615767007078
"Papilio indra","fc.H_rm.1",2,0.662,0.706,0.771,0.5,0.303,0.370967741935484,0.319816995285538
"Papilio indra","fc.H_rm.1",3,0.464,-0.552,0.611,0.468,0.021,0.032258064516129,0.0768101810432353
"Papilio indra","fc.H_rm.1",4,0.426,-0.417,0.587,0.508,0.024,0.0163934426229508,0.0718647222293043
"Papilio indra","fc.LQH_rm.1",1,0.672,0.545,0.363,0.048,0.841,0.161290322580645,0.382260766196574
"Papilio indra","fc.LQH_rm.1",2,0.634,0.548,0.76,0.484,0.306,0.419354838709677,0.255591165609977
"Papilio indra","fc.LQH_rm.1",3,0.479,-0.374,0.65,0.5,0.362,0.5,0.0939545029604238
"Papilio indra","fc.LQH_rm.1",4,0.416,-0.557,0.606,0.541,0.025,0.0491803278688525,0.0639611962369018
"Papilio indra","fc.L_rm.2",1,0.718,0.886,0.286,0,0.797,0.241935483870968,0.391230345274761
"Papilio indra","fc.L_rm.2",2,0.532,0.815,0.707,0.613,0.429,0.709677419354839,0.159293063006572
"Papilio indra","fc.L_rm.2",3,0.68,0.684,0.295,0,0.796,0.403225806451613,0.345293981644367
"Papilio indra","fc.L_rm.2",4,0.295,-0.922,0.432,0,0.217,0,0.00699844479004663
"Papilio indra","fc.LQ_rm.2",1,0.724,0.828,0.273,0.016,0.867,0.193548387096774,0.355027827308586
"Papilio indra","fc.LQ_rm.2",2,0.618,0.772,0.69,0.355,0.311,0.290322580645161,0.255753733249727
"Papilio indra","fc.LQ_rm.2",3,0.557,0.041,0.37,0.097,0.74,0.516129032258065,0.12581549874848
"Papilio indra","fc.LQ_rm.2",4,0.382,-0.484,0.512,0.082,0.205,0,0.0909797822706064
"Papilio indra","fc.H_rm.2",1,0.69,0.347,0.323,0.048,0.863,0.161290322580645,0.371372994002269
"Papilio indra","fc.H_rm.2",2,0.662,0.626,0.732,0.403,0.408,0.403225806451613,0.33759492788964
"Papilio indra","fc.H_rm.2",3,0.488,-0.268,0.539,0.339,0.1,0.032258064516129,0.0898983705103591
"Papilio indra","fc.H_rm.2",4,0.427,-0.288,0.581,0.492,0.074,0.0163934426229508,0.0578678326492108
"Papilio indra","fc.LQH_rm.2",1,0.692,0.635,0.347,0.048,0.84,0.161290322580645,0.385610849948668
"Papilio indra","fc.LQH_rm.2",2,0.623,0.454,0.719,0.387,0.356,0.403225806451613,0.252641724145939
"Papilio indra","fc.LQH_rm.2",3,0.515,-0.095,0.56,0.306,0.214,0.0645161290322581,0.108746569627761
"Papilio indra","fc.LQH_rm.2",4,0.395,-0.592,0.554,0.475,0.05,0,0.0583203732503887
"Papilio indra","fc.L_rm.3",1,0.763,0.926,0.295,0,0.74,0.0645161290322581,0.414545847517156
"Papilio indra","fc.L_rm.3",2,0.527,0.776,0.679,0.613,0.471,0.725806451612903,0.14712371397385
"Papilio indra","fc.L_rm.3",3,0.638,0.753,0.338,0,0.756,0.451612903225806,0.284441942520532
"Papilio indra","fc.L_rm.3",4,0.298,-0.904,0.434,0,0.221,0,0.0042768273716951
"Papilio indra","fc.LQ_rm.3",1,0.746,0.902,0.254,0.016,0.866,0.129032258064516,0.412843788836657
"Papilio indra","fc.LQ_rm.3",2,0.611,0.81,0.715,0.629,0.239,0.193548387096774,0.23517731484707
"Papilio indra","fc.LQ_rm.3",3,0.574,-0.135,0.308,0.065,0.868,0.612903225806452,0.197006403361514
"Papilio indra","fc.LQ_rm.3",4,0.371,-0.747,0.51,0.148,0.229,0,0.0579315707620529
"Papilio indra","fc.H_rm.3",1,0.697,0.649,0.294,0.032,0.915,0.225806451612903,0.34538282811909
"Papilio indra","fc.H_rm.3",2,0.657,0.507,0.696,0.403,0.461,0.403225806451613,0.34047469750807
"Papilio indra","fc.H_rm.3",3,0.527,0.418,0.434,0.065,0.421,0.0645161290322581,0.166708551553594
"Papilio indra","fc.H_rm.3",4,0.434,-0.179,0.566,0.492,0.144,0.0655737704918032,0.0425133212655839
"Papilio indra","fc.LQH_rm.3",1,0.696,0.352,0.316,0.048,0.875,0.17741935483871,0.39041984114119
"Papilio indra","fc.LQH_rm.3",2,0.605,0.453,0.708,0.565,0.33,0.370967741935484,0.213265519403609
"Papilio indra","fc.LQH_rm.3",3,0.535,0.141,0.439,0.081,0.51,0.290322580645161,0.116034539953156
"Papilio indra","fc.LQH_rm.3",4,0.383,-0.568,0.524,0.459,0.102,0,0.0532659409020217
"Papilio machaon","fc.L_rm.1",1,0.359,-0.621,0.375,0.038,0.408,0.00769230769230766,0.0956099785058295
"Papilio machaon","fc.L_rm.1",2,0.6,0.703,0.493,0.132,0.564,0.418604651162791,0.26138332960644
"Papilio machaon","fc.L_rm.1",3,0.495,0.482,0.564,0.223,0.215,0.0230769230769231,0.0698918269230768
"Papilio machaon","fc.L_rm.1",4,0.527,-0.038,0.379,0.055,0.569,0.234375,0.13378959122902
"Papilio machaon","fc.LQ_rm.1",1,0.56,0.694,0.446,0.023,0.494,0.0769230769230769,0.281247964567186
"Papilio machaon","fc.LQ_rm.1",2,0.657,0.85,0.649,0.233,0.304,0.232558139534884,0.260831283542039
"Papilio machaon","fc.LQ_rm.1",3,0.574,0.555,0.496,0.038,0.328,0.115384615384615,0.181490384615385
"Papilio machaon","fc.LQ_rm.1",4,0.658,0.669,0.558,0.195,0.643,0.640625,0.27735009474824
"Papilio machaon","fc.H_rm.1",1,0.657,0.919,0.459,0.023,0.611,0.0692307692307692,0.373614277339934
"Papilio machaon","fc.H_rm.1",2,0.571,0.332,0.546,0.302,0.753,0.697674418604651,0.192349619856887
"Papilio machaon","fc.H_rm.1",3,0.576,0.546,0.597,0.238,0.451,0.5,0.12890625
"Papilio machaon","fc.H_rm.1",4,0.735,0.919,0.592,0.133,0.615,0.515625,0.366345763400108
"Papilio machaon","fc.LQH_rm.1",1,0.664,0.96,0.437,0.015,0.652,0.0846153846153846,0.36246336220934
"Papilio machaon","fc.LQH_rm.1",2,0.545,0.091,0.528,0.295,0.187,0.0852713178294574,0.139788778324389
"Papilio machaon","fc.LQH_rm.1",3,0.592,0.77,0.574,0.185,0.576,0.592307692307692,0.140504807692308
"Papilio machaon","fc.LQH_rm.1",4,0.736,0.926,0.605,0.156,0.576,0.4765625,0.371298896859773
"Papilio machaon","fc.L_rm.2",1,0.318,-0.6,0.332,0,0.468,0.00769230769230766,0.083755617794568
"Papilio machaon","fc.L_rm.2",2,0.607,0.698,0.486,0.178,0.559,0.418604651162791,0.246359291144902
"Papilio machaon","fc.L_rm.2",3,0.49,0.463,0.559,0.192,0.247,0.0230769230769231,0.087079326923077
"Papilio machaon","fc.L_rm.2",4,0.526,-0.092,0.373,0.055,0.588,0.25,0.131970763400108
"Papilio machaon","fc.LQ_rm.2",1,0.524,0.527,0.446,0.031,0.421,0.0615384615384615,0.221272715430209
"Papilio machaon","fc.LQ_rm.2",2,0.685,0.93,0.621,0.178,0.326,0.193798449612403,0.281862608079904
"Papilio machaon","fc.LQ_rm.2",3,0.576,0.692,0.492,0.023,0.341,0.115384615384615,0.167427884615384
"Papilio machaon","fc.LQ_rm.2",4,0.653,0.676,0.558,0.195,0.653,0.65625,0.275531266919329
"Papilio machaon","fc.H_rm.2",1,0.575,0.575,0.46,0.031,0.47,0.0384615384615384,0.327330163485964
"Papilio machaon","fc.H_rm.2",2,0.57,0.63,0.56,0.248,0.232,0.0387596899224806,0.147838867769827
"Papilio machaon","fc.H_rm.2",3,0.561,0.507,0.571,0.2,0.539,0.561538461538462,0.124399038461538
"Papilio machaon","fc.H_rm.2",4,0.702,0.629,0.509,0.094,0.658,0.5390625,0.308798896859773
"Papilio machaon","fc.LQH_rm.2",1,0.568,0.506,0.469,0.031,0.43,0.0384615384615384,0.308701882368267
"Papilio machaon","fc.LQH_rm.2",2,0.572,0.622,0.568,0.225,0.243,0.0930232558139535,0.155173859570662
"Papilio machaon","fc.LQH_rm.2",3,0.583,0.793,0.542,0.162,0.385,0.253846153846154,0.127403846153846
"Papilio machaon","fc.LQH_rm.2",4,0.682,0.764,0.529,0.094,0.615,0.5,0.289929615592853
"Papilio machaon","fc.L_rm.3",1,0.309,-0.608,0.327,0,0.489,0.00769230769230766,0.0846023578453723
"Papilio machaon","fc.L_rm.3",2,0.617,0.725,0.482,0.14,0.542,0.37984496124031,0.252366577221228
"Papilio machaon","fc.L_rm.3",3,0.492,0.461,0.547,0.185,0.263,0.0230769230769231,0.090204326923077
"Papilio machaon","fc.L_rm.3",4,0.526,-0.058,0.367,0.055,0.6,0.25,0.137114239306984
"Papilio machaon","fc.LQ_rm.3",1,0.517,0.525,0.435,0.031,0.444,0.0692307692307692,0.205113007229857
"Papilio machaon","fc.LQ_rm.3",2,0.7,0.947,0.586,0.155,0.424,0.255813953488372,0.312996142665474
"Papilio machaon","fc.LQ_rm.3",3,0.576,0.683,0.495,0.031,0.345,0.107692307692308,0.155588942307692
"Papilio machaon","fc.LQ_rm.3",4,0.657,0.657,0.546,0.195,0.667,0.6640625,0.276922881700054
"Papilio machaon","fc.H_rm.3",1,0.567,0.645,0.434,0.023,0.557,0.0769230769230769,0.305803426040513
"Papilio machaon","fc.H_rm.3",2,0.568,0.632,0.531,0.24,0.674,0.697674418604651,0.167409716010734
"Papilio machaon","fc.H_rm.3",3,0.562,0.487,0.543,0.154,0.576,0.592307692307692,0.128786057692308
"Papilio machaon","fc.H_rm.3",4,0.701,0.363,0.464,0.094,0.725,0.578125,0.309801367081754
"Papilio machaon","fc.LQH_rm.3",1,0.545,0.585,0.434,0.023,0.445,0.0307692307692308,0.270670227317137
"Papilio machaon","fc.LQH_rm.3",2,0.572,0.625,0.553,0.217,0.652,0.682170542635659,0.178706861210495
"Papilio machaon","fc.LQH_rm.3",3,0.582,0.706,0.518,0.115,0.449,0.253846153846154,0.156310096153846
"Papilio machaon","fc.LQH_rm.3",4,0.681,0.682,0.529,0.109,0.661,0.5859375,0.308485889279913
"Papilio multicaudata","fc.L_rm.1",1,0.51,-0.083,0.419,0.111,0.78,0.605341246290801,0.133518857336142
"Papilio multicaudata","fc.L_rm.1",2,0.758,0.815,0.611,0.349,0.654,0.433878157503715,0.432101223939584
"Papilio multicaudata","fc.L_rm.1",3,0.458,-0.411,0.42,0.086,0.488,0.148367952522255,0.0537373106356396
"Papilio multicaudata","fc.L_rm.1",4,0.624,0.436,0.494,0.049,0.495,0.102526002971768,0.252478674296707
"Papilio multicaudata","fc.LQ_rm.1",1,0.67,0.913,0.497,0.083,0.645,0.324925816023739,0.278182992266417
"Papilio multicaudata","fc.LQ_rm.1",2,0.832,0.804,0.662,0.116,0.501,0.141158989598811,0.616572969164075
"Papilio multicaudata","fc.LQ_rm.1",3,0.57,0.915,0.4,0.007,0.648,0.117210682492582,0.220684054349524
"Papilio multicaudata","fc.LQ_rm.1",4,0.502,-0.244,0.503,0.278,0.472,0.355126300148588,0.147212334089017
"Papilio multicaudata","fc.H_rm.1",1,0.712,0.915,0.546,0.006,0.551,0.166172106824926,0.337454836180255
"Papilio multicaudata","fc.H_rm.1",2,0.838,0.873,0.683,0.158,0.352,0.117384843982169,0.596532681791027
"Papilio multicaudata","fc.H_rm.1",3,0.641,0.877,0.528,0.117,0.349,0.118694362017804,0.22621791868395
"Papilio multicaudata","fc.H_rm.1",4,0.574,-0.024,0.565,0.26,0.242,0.12778603268945,0.191203677319904
"Papilio multicaudata","fc.LQH_rm.1",1,0.711,0.912,0.546,0.006,0.572,0.210682492581602,0.329732015190418
"Papilio multicaudata","fc.LQH_rm.1",2,0.836,0.871,0.682,0.171,0.326,0.0921248142644874,0.585710237281905
"Papilio multicaudata","fc.LQH_rm.1",3,0.641,0.84,0.529,0.116,0.349,0.118694362017804,0.229375813420792
"Papilio multicaudata","fc.LQH_rm.1",4,0.573,-0.034,0.565,0.263,0.242,0.12630014858841,0.193157288268466
"Papilio multicaudata","fc.L_rm.2",1,0.5,-0.033,0.416,0.154,0.816,0.635014836795252,0.159285681339463
"Papilio multicaudata","fc.L_rm.2",2,0.76,0.828,0.608,0.351,0.634,0.401188707280832,0.439017478286178
"Papilio multicaudata","fc.L_rm.2",3,0.467,-0.365,0.424,0.088,0.442,0.0801186943620178,0.0391795512520172
"Papilio multicaudata","fc.L_rm.2",4,0.718,0.718,0.516,0.058,0.508,0.150074294205052,0.416810644990458
"Papilio multicaudata","fc.LQ_rm.2",1,0.64,0.908,0.461,0.012,0.709,0.449554896142433,0.210030596085546
"Papilio multicaudata","fc.LQ_rm.2",2,0.837,0.861,0.652,0.364,0.424,0.133729569093611,0.603383832968245
"Papilio multicaudata","fc.LQ_rm.2",3,0.565,0.877,0.4,0.009,0.639,0.160237388724036,0.199060856889999
"Papilio multicaudata","fc.LQ_rm.2",4,0.538,0.011,0.535,0.446,0.392,0.24665676077266,0.181313304709099
"Papilio multicaudata","fc.H_rm.2",1,0.724,0.867,0.547,0.064,0.619,0.268545994065282,0.355806337540936
"Papilio multicaudata","fc.H_rm.2",2,0.831,0.873,0.679,0.184,0.344,0.0950965824665676,0.556965273203536
"Papilio multicaudata","fc.H_rm.2",3,0.644,0.839,0.52,0.113,0.375,0.126112759643917,0.222659170180644
"Papilio multicaudata","fc.H_rm.2",4,0.558,0.013,0.545,0.272,0.383,0.292719167904903,0.163314508428118
"Papilio multicaudata","fc.LQH_rm.2",1,0.722,0.898,0.547,0.062,0.572,0.191394658753709,0.353683061453545
"Papilio multicaudata","fc.LQH_rm.2",2,0.831,0.868,0.679,0.186,0.349,0.0995542347696879,0.557662260075673
"Papilio multicaudata","fc.LQH_rm.2",3,0.645,0.841,0.52,0.114,0.398,0.146884272997033,0.221536779634546
"Papilio multicaudata","fc.LQH_rm.2",4,0.556,0.012,0.545,0.272,0.382,0.292719167904903,0.158169513105387
"Papilio multicaudata","fc.L_rm.3",1,0.497,-0.032,0.413,0.145,0.807,0.603857566765579,0.171790101628204
"Papilio multicaudata","fc.L_rm.3",2,0.76,0.848,0.602,0.349,0.641,0.398216939078752,0.43941192690063
"Papilio multicaudata","fc.L_rm.3",3,0.455,-0.414,0.422,0.089,0.427,0.0534124629080118,0.0343068353376021
"Papilio multicaudata","fc.L_rm.3",4,0.718,0.656,0.514,0.079,0.498,0.106983655274889,0.414064052863559
"Papilio multicaudata","fc.LQ_rm.3",1,0.626,0.859,0.452,0.01,0.762,0.541543026706231,0.203534693501022
"Papilio multicaudata","fc.LQ_rm.3",2,0.836,0.887,0.641,0.435,0.405,0.142644873699851,0.599623167537262
"Papilio multicaudata","fc.LQ_rm.3",3,0.557,0.828,0.408,0.013,0.561,0.112759643916914,0.177415794679577
"Papilio multicaudata","fc.LQ_rm.3",4,0.576,0.34,0.561,0.591,0.338,0.156017830609212,0.204131841981994
"Papilio multicaudata","fc.H_rm.3",1,0.73,0.904,0.546,0.082,0.601,0.234421364985163,0.362987961439707
"Papilio multicaudata","fc.H_rm.3",2,0.821,0.883,0.67,0.187,0.368,0.101040118870728,0.538135138861231
"Papilio multicaudata","fc.H_rm.3",3,0.649,0.875,0.516,0.111,0.318,0.0445103857566765,0.226717684418762
"Papilio multicaudata","fc.H_rm.3",4,0.546,0.356,0.53,0.244,0.545,0.49479940564636,0.144583194914913
"Papilio multicaudata","fc.LQH_rm.3",1,0.716,0.87,0.533,0.076,0.62,0.235905044510386,0.337151950308267
"Papilio multicaudata","fc.LQH_rm.3",2,0.821,0.88,0.67,0.18,0.364,0.0936106983655275,0.545564559366431
"Papilio multicaudata","fc.LQH_rm.3",3,0.648,0.875,0.513,0.102,0.329,0.0519287833827893,0.228071216617211
"Papilio multicaudata","fc.LQH_rm.3",4,0.544,0.331,0.531,0.245,0.544,0.50222882615156,0.14089558918988
"Papilio palamedes","fc.L_rm.1",1,0.445,0.229,0.362,0.113,0.275,0.0234042553191489,0.0437534569858771
"Papilio palamedes","fc.L_rm.1",2,0.454,-0.022,0.587,0,0.7,0.0127931769722814,0.021808899152286
"Papilio palamedes","fc.L_rm.1",3,0.428,0.038,0.441,0.285,0.351,0.0212314225053079,0.0838962325043466
"Papilio palamedes","fc.L_rm.1",4,0.773,0.965,0.614,0.598,0.28,0.382978723404255,0.436046798637508
"Papilio palamedes","fc.LQ_rm.1",1,0.683,0.727,0.518,0.004,0.36,0.0468085106382978,0.386900328183193
"Papilio palamedes","fc.LQ_rm.1",2,0.62,0.571,0.544,0.467,0.209,0.319829424307036,0.213042548011303
"Papilio palamedes","fc.LQ_rm.1",3,0.651,0.89,0.521,0.14,0.493,0.278131634819533,0.238924790840197
"Papilio palamedes","fc.LQ_rm.1",4,0.848,0.937,0.666,0.651,0.215,0.219148936170213,0.547672409537444
"Papilio palamedes","fc.H_rm.1",1,0.716,0.078,0.666,0.283,0.077,0.051063829787234,0.461934437110513
"Papilio palamedes","fc.H_rm.1",2,0.615,0.643,0.561,0.128,0.702,0.501066098081024,0.232497915759807
"Papilio palamedes","fc.H_rm.1",3,0.765,0.98,0.597,0.202,0.542,0.276008492569002,0.363982925581609
"Papilio palamedes","fc.H_rm.1",4,0.799,0.825,0.703,0.5,0.045,0.0808510638297872,0.44119069951128
"Papilio palamedes","fc.LQH_rm.1",1,0.719,0.092,0.664,0.272,0.082,0.0468085106382978,0.45622441830451
"Papilio palamedes","fc.LQH_rm.1",2,0.611,0.637,0.564,0.122,0.681,0.402985074626866,0.209471672777978
"Papilio palamedes","fc.LQH_rm.1",3,0.763,0.982,0.593,0.191,0.571,0.329087048832272,0.360893642006604
"Papilio palamedes","fc.LQH_rm.1",4,0.801,0.818,0.706,0.498,0.046,0.0787234042553191,0.442158266278323
"Papilio palamedes","fc.L_rm.2",1,0.424,-0.146,0.347,0.026,0.373,0.0170212765957447,0.0462369556399571
"Papilio palamedes","fc.L_rm.2",2,0.445,-0.361,0.585,0,0.65,0,0.0207612456747406
"Papilio palamedes","fc.L_rm.2",3,0.405,-0.138,0.414,0.386,0.371,0.0233545647558386,0.0757657956818356
"Papilio palamedes","fc.L_rm.2",4,0.803,0.978,0.601,0.736,0.304,0.368085106382979,0.455580786888483
"Papilio palamedes","fc.LQ_rm.2",1,0.661,0.782,0.477,0,0.448,0.048936170212766,0.349677347984808
"Papilio palamedes","fc.LQ_rm.2",2,0.618,0.709,0.528,0.493,0.175,0.311300639658849,0.21119070982212
"Papilio palamedes","fc.LQ_rm.2",3,0.614,0.894,0.496,0.149,0.545,0.386411889596603,0.186641103323371
"Papilio palamedes","fc.LQ_rm.2",4,0.85,0.936,0.669,0.657,0.194,0.221276595744681,0.54902502838525
"Papilio palamedes","fc.H_rm.2",1,0.714,0.326,0.641,0.247,0.168,0.0574468085106383,0.451651978317785
"Papilio palamedes","fc.H_rm.2",2,0.627,0.731,0.552,0.139,0.624,0.38592750533049,0.233449657299267
"Papilio palamedes","fc.H_rm.2",3,0.752,0.901,0.582,0.195,0.532,0.235668789808917,0.359267919051842
"Papilio palamedes","fc.H_rm.2",4,0.804,0.9,0.701,0.532,0.054,0.074468085106383,0.447573678234684
"Papilio palamedes","fc.LQH_rm.2",1,0.713,0.349,0.64,0.247,0.16,0.0404255319148936,0.449609130130167
"Papilio palamedes","fc.LQH_rm.2",2,0.633,0.687,0.555,0.141,0.617,0.366737739872068,0.242258799920319
