"insect","tune.args","fold","auc.val","cbi.val","IMAE","or.10p","thr","OR.mss","TSS"
"Papilio appalachiensis","fc.L_rm.3",1,0.812,0.548,0.888,0.778,0.1,0.185185185185185,0.550645746611164
"Papilio appalachiensis","fc.L_rm.3",2,0.796,0.834,0.593,0.077,0.36,0.0769230769230769,0.486784567994313
"Papilio appalachiensis","fc.L_rm.3",3,0.888,0.576,0.497,0,0.711,0.0384615384615384,0.709136155324496
"Papilio appalachiensis","fc.L_rm.3",4,0.64,0.631,0.751,0.462,0.139,0.0769230769230769,0.27406536022724
"Papilio appalachiensis","fc.LQ_rm.3",1,0.812,0.454,0.891,0.778,0.103,0.185185185185185,0.555929127975237
"Papilio appalachiensis","fc.LQ_rm.3",2,0.797,0.823,0.605,0.077,0.494,0.192307692307692,0.479492923766236
"Papilio appalachiensis","fc.LQ_rm.3",3,0.884,0.556,0.491,0,0.726,0.0384615384615384,0.715542305228404
"Papilio appalachiensis","fc.LQ_rm.3",4,0.654,0.691,0.798,0.577,0.082,0,0.271913465124953
"Papilio appalachiensis","fc.H_rm.3",1,0.778,0.503,0.808,0.741,0.17,0.0740740740740741,0.512861564734764
"Papilio appalachiensis","fc.H_rm.3",2,0.775,0.863,0.631,0.154,0.524,0.153846153846154,0.458027270964823
"Papilio appalachiensis","fc.H_rm.3",3,0.842,0.991,0.374,0,0.676,0.230769230769231,0.596905336815651
"Papilio appalachiensis","fc.H_rm.3",4,0.646,0.353,0.687,0.654,0.181,0.0769230769230769,0.319943763807994
"Papilio appalachiensis","fc.LQH_rm.3",1,0.795,0.57,0.888,0.815,0.074,0.0370370370370371,0.532127228092646
"Papilio appalachiensis","fc.LQH_rm.3",2,0.793,0.719,0.647,0.154,0.43,0.153846153846154,0.491351269844689
"Papilio appalachiensis","fc.LQH_rm.3",3,0.89,0.929,0.429,0,0.742,0.0769230769230769,0.702705366382496
"Papilio appalachiensis","fc.LQH_rm.3",4,0.658,0.723,0.789,0.654,0.272,0.461538461538462,0.283705850285485
"Papilio brevicauda","fc.L_rm.1",1,0.911,0.915,0.781,0.048,0.328,0.119047619047619,0.67596936849485
"Papilio brevicauda","fc.L_rm.1",2,0.813,0.323,0.346,0,0.744,0.024390243902439,0.529978077907743
"Papilio brevicauda","fc.L_rm.1",3,0.677,0.656,0.896,0.634,0.119,0.439024390243902,0.349400293542989
"Papilio brevicauda","fc.L_rm.1",4,0.727,0.852,0.681,0.244,0.426,0.292682926829268,0.458154313626191
"Papilio brevicauda","fc.LQ_rm.1",1,0.896,0.805,0.874,0.357,0.129,0.0714285714285714,0.640538208488378
"Papilio brevicauda","fc.LQ_rm.1",2,0.701,0.706,0.352,0,0.799,0.24390243902439,0.380233324646257
"Papilio brevicauda","fc.LQ_rm.1",3,0.686,0.376,0.91,0.805,0.111,0.463414634146341,0.338808439828362
"Papilio brevicauda","fc.LQ_rm.1",4,0.691,0.797,0.748,0.293,0.413,0.414634146341463,0.407201084736902
"Papilio brevicauda","fc.H_rm.1",1,0.285,-0.632,0.754,0.929,0.02,0,0.0117025292563231
"Papilio brevicauda","fc.H_rm.1",2,0.464,-0.287,0.365,0.195,0.999,0.804878048780488,0.0543299964740691
"Papilio brevicauda","fc.H_rm.1",3,0.631,-0.351,0.917,0.829,0.041,0.48780487804878,0.351980480326076
"Papilio brevicauda","fc.H_rm.1",4,0.54,0.529,0.519,0.268,0.505,0.390243902439024,0.205536405665463
"Papilio brevicauda","fc.LQH_rm.1",1,0.261,-0.639,0.741,0.976,0.035,0.0476190476190477,0.0426036779377663
"Papilio brevicauda","fc.LQH_rm.1",2,0.523,0.196,0.396,0.146,0.505,0.292682926829268,0.0982661617942389
"Papilio brevicauda","fc.LQH_rm.1",3,0.627,-0.068,0.927,0.805,0.044,0.51219512195122,0.344838224158401
"Papilio brevicauda","fc.LQH_rm.1",4,0.514,0.617,0.625,0.39,0.281,0.341463414634146,0.181644421936517
"Papilio brevicauda","fc.L_rm.2",1,0.906,0.882,0.766,0.048,0.344,0.0714285714285714,0.676778299088605
"Papilio brevicauda","fc.L_rm.2",2,0.81,0.193,0.345,0,0.908,0.170731707317073,0.53008538884886
"Papilio brevicauda","fc.L_rm.2",3,0.688,0.474,0.891,0.61,0.102,0.390243902439024,0.346820106759902
"Papilio brevicauda","fc.L_rm.2",4,0.751,0.883,0.627,0.171,0.526,0.292682926829268,0.499346544034764
"Papilio brevicauda","fc.LQ_rm.2",1,0.897,0.893,0.833,0.333,0.207,0.0476190476190477,0.627352639810171
"Papilio brevicauda","fc.LQ_rm.2",2,0.741,0.833,0.28,0,0.801,0.0975609756097561,0.416581073416014
"Papilio brevicauda","fc.LQ_rm.2",3,0.691,0.521,0.907,0.756,0.101,0.439024390243902,0.34518411876338
"Papilio brevicauda","fc.LQ_rm.2",4,0.714,0.81,0.686,0.244,0.409,0.292682926829268,0.439735023606097
"Papilio brevicauda","fc.H_rm.2",1,0.834,0.646,0.803,0.69,0.193,0.119047619047619,0.566871595750418
"Papilio brevicauda","fc.H_rm.2",2,0.619,0.101,0.222,0.024,0.865,0.219512195121951,0.2342904447272
"Papilio brevicauda","fc.H_rm.2",3,0.663,-0.104,0.914,0.805,0.064,0.51219512195122,0.327973525039965
"Papilio brevicauda","fc.H_rm.2",4,0.605,0.59,0.488,0.244,0.684,0.463414634146341,0.285413229216016
"Papilio brevicauda","fc.LQH_rm.2",1,0.806,0.746,0.809,0.69,0.21,0.214285714285714,0.52561613546891
"Papilio brevicauda","fc.LQH_rm.2",2,0.626,0.263,0.283,0.024,0.912,0.317073170731707,0.268721926691297
"Papilio brevicauda","fc.LQH_rm.2",3,0.667,-0.015,0.933,0.829,0.029,0.463414634146341,0.318494143162972
"Papilio brevicauda","fc.LQH_rm.2",4,0.589,0.57,0.629,0.293,0.502,0.463414634146341,0.274026759021776
"Papilio brevicauda","fc.L_rm.3",1,0.898,0.853,0.749,0.048,0.37,0.0952380952380952,0.656743784716605
"Papilio brevicauda","fc.L_rm.3",2,0.806,0.512,0.345,0,0.89,0.170731707317073,0.514372001042449
"Papilio brevicauda","fc.L_rm.3",3,0.693,0.32,0.89,0.61,0.105,0.390243902439024,0.352569436004824
"Papilio brevicauda","fc.L_rm.3",4,0.767,0.823,0.592,0.098,0.576,0.292682926829268,0.501021024945681
"Papilio brevicauda","fc.LQ_rm.3",1,0.912,0.912,0.792,0.071,0.302,0.0714285714285714,0.69036833306369
"Papilio brevicauda","fc.LQ_rm.3",2,0.76,0.859,0.27,0,0.924,0.195121951219512,0.444727200257546
"Papilio brevicauda","fc.LQ_rm.3",3,0.696,0.489,0.903,0.756,0.109,0.439024390243902,0.351700025240958
"Papilio brevicauda","fc.LQ_rm.3",4,0.729,0.85,0.645,0.244,0.47,0.268292682926829,0.48254455752863
"Papilio brevicauda","fc.H_rm.3",1,0.888,0.961,0.75,0.381,0.255,0.0476190476190477,0.629240144528933
"Papilio brevicauda","fc.H_rm.3",2,0.642,0.667,0.181,0,0.836,0.073170731707317,0.29829375603624
"Papilio brevicauda","fc.H_rm.3",3,0.683,0.144,0.903,0.805,0.074,0.48780487804878,0.32285054548514
"Papilio brevicauda","fc.H_rm.3",4,0.744,0.792,0.516,0.122,0.757,0.48780487804878,0.440192442781762
"Papilio brevicauda","fc.LQH_rm.3",1,0.892,0.899,0.795,0.333,0.253,0.0714285714285714,0.626570673569541
"Papilio brevicauda","fc.LQH_rm.3",2,0.658,0.431,0.248,0,0.84,0.170731707317073,0.311983566095875
"Papilio brevicauda","fc.LQH_rm.3",3,0.666,0.187,0.926,0.829,0.048,0.463414634146341,0.328459647187503
"Papilio brevicauda","fc.LQH_rm.3",4,0.702,0.75,0.644,0.268,0.487,0.341463414634146,0.452575433322987
"Papilio canadensis","fc.L_rm.1",1,0.311,-0.355,0.772,0,0.603,0.00130463144161774,0.00782778864970646
"Papilio canadensis","fc.L_rm.1",2,0.499,0.097,0.52,0.001,0.684,0.329634464751958,0.0224224972733582
"Papilio canadensis","fc.L_rm.1",3,0.564,-0.084,0.689,0.972,0.078,0.39686684073107,0.16856367930303
"Papilio canadensis","fc.L_rm.1",4,0.743,0.927,0.632,0,0.687,0.182114882506527,0.444024935122652
"Papilio canadensis","fc.LQ_rm.1",1,0.515,-0.236,0.771,0,0.836,0.253098499673842,0.071102413568167
"Papilio canadensis","fc.LQ_rm.1",2,0.576,0.908,0.521,0.037,0.672,0.718668407310705,0.138926529398156
"Papilio canadensis","fc.LQ_rm.1",3,0.695,0.042,0.717,0.913,0.02,0.100522193211488,0.339588633727983
"Papilio canadensis","fc.LQ_rm.1",4,0.847,0.947,0.693,0.013,0.71,0.129895561357702,0.601107478155976
"Papilio canadensis","fc.H_rm.1",1,0.365,0.06,0.721,0,0.652,0.0163078930202218,0.0521852576647097
"Papilio canadensis","fc.H_rm.1",2,0.549,0.921,0.525,0.082,0.709,0.392297650130548,0.0713099448061605
"Papilio canadensis","fc.H_rm.1",3,0.685,0.584,0.731,0.948,0.023,0.243472584856397,0.313432785987593
"Papilio canadensis","fc.H_rm.1",4,0.853,0.989,0.68,0.052,0.546,0.12402088772846,0.593304340235066
"Papilio canadensis","fc.LQH_rm.1",1,0.366,0.114,0.721,0,0.651,0.0169602087410307,0.0515329419439008
"Papilio canadensis","fc.LQH_rm.1",2,0.547,0.921,0.525,0.075,0.699,0.349216710182768,0.0685048088045741
"Papilio canadensis","fc.LQH_rm.1",3,0.685,0.584,0.731,0.948,0.023,0.243472584856397,0.313432785987593
"Papilio canadensis","fc.LQH_rm.1",4,0.853,0.989,0.68,0.052,0.549,0.12532637075718,0.591998857206346
"Papilio canadensis","fc.L_rm.2",1,0.295,-0.456,0.763,0,0.615,0.00130463144161774,0.00782778864970646
"Papilio canadensis","fc.L_rm.2",2,0.493,-0.111,0.523,0,0.671,0.0620104438642297,0.00840094854083362
"Papilio canadensis","fc.L_rm.2",3,0.58,0.268,0.679,0.975,0.116,0.400783289817232,0.176156181623518
"Papilio canadensis","fc.L_rm.2",4,0.776,0.994,0.624,0,0.663,0.157310704960836,0.482506924218496
"Papilio canadensis","fc.LQ_rm.2",1,0.532,-0.079,0.763,0,0.835,0.287018917155903,0.110241356816699
"Papilio canadensis","fc.LQ_rm.2",2,0.582,0.902,0.523,0.025,0.687,0.739556135770235,0.152848927520904
"Papilio canadensis","fc.LQ_rm.2",3,0.695,0.147,0.711,0.91,0.044,0.139033942558747,0.34071882811474
"Papilio canadensis","fc.LQ_rm.2",4,0.842,0.932,0.688,0.01,0.68,0.0959530026109661,0.595536359091162
"Papilio canadensis","fc.H_rm.2",1,0.36,0.373,0.725,0,0.705,0.0515329419439009,0.0717547292889757
"Papilio canadensis","fc.H_rm.2",2,0.547,0.947,0.526,0.07,0.738,0.511749347258486,0.0697379945136662
"Papilio canadensis","fc.H_rm.2",3,0.691,0.499,0.726,0.926,0.026,0.181462140992167,0.324292334711158
"Papilio canadensis","fc.H_rm.2",4,0.864,0.986,0.681,0.052,0.591,0.169060052219321,0.58929861039466
"Papilio canadensis","fc.LQH_rm.2",1,0.359,0.485,0.725,0,0.705,0.0521852576647097,0.071102413568167
"Papilio canadensis","fc.LQH_rm.2",2,0.547,0.966,0.526,0.069,0.738,0.513707571801567,0.069362048451598
"Papilio canadensis","fc.LQH_rm.2",3,0.691,0.499,0.726,0.926,0.026,0.181462140992167,0.324292334711158
"Papilio canadensis","fc.LQH_rm.2",4,0.863,0.985,0.681,0.052,0.592,0.169060052219321,0.58929861039466
"Papilio canadensis","fc.L_rm.3",1,0.285,-0.466,0.753,0,0.623,0.00130463144161774,0.00782778864970646
"Papilio canadensis","fc.L_rm.3",2,0.49,-0.004,0.525,0,0.699,0.0822454308093995,0.00794444260832194
"Papilio canadensis","fc.L_rm.3",3,0.577,0.383,0.666,0.942,0.135,0.397519582245431,0.168550323977928
"Papilio canadensis","fc.L_rm.3",4,0.796,0.991,0.622,0,0.653,0.131201044386423,0.510136341631814
"Papilio canadensis","fc.LQ_rm.3",1,0.562,0.43,0.755,0,0.863,0.771689497716895,0.146118721461187
"Papilio canadensis","fc.LQ_rm.3",2,0.582,0.878,0.524,0.014,0.714,0.756527415143603,0.153282711438675
"Papilio canadensis","fc.LQ_rm.3",3,0.694,0.41,0.704,0.912,0.078,0.182767624020888,0.337266476575873
"Papilio canadensis","fc.LQ_rm.3",4,0.834,0.918,0.683,0.01,0.689,0.101174934725849,0.588794670137373
"Papilio canadensis","fc.H_rm.3",1,0.368,0.457,0.727,0,0.713,0.0554468362687541,0.0724070450097847
"Papilio canadensis","fc.H_rm.3",2,0.54,0.96,0.526,0.055,0.741,0.511096605744125,0.0672261790660011
"Papilio canadensis","fc.H_rm.3",3,0.69,0.332,0.722,0.928,0.044,0.218015665796345,0.319494990640143
"Papilio canadensis","fc.H_rm.3",4,0.867,0.986,0.679,0.05,0.584,0.170365535248042,0.591032641043752
"Papilio canadensis","fc.LQH_rm.3",1,0.368,0.448,0.727,0,0.713,0.0554468362687541,0.0724070450097847
"Papilio canadensis","fc.LQH_rm.3",2,0.541,0.968,0.526,0.055,0.741,0.509791122715405,0.0669493836137092
"Papilio canadensis","fc.LQH_rm.3",3,0.69,0.332,0.722,0.928,0.044,0.218015665796345,0.319494990640143
"Papilio canadensis","fc.LQH_rm.3",4,0.867,0.985,0.679,0.049,0.587,0.171018276762402,0.591899656368297
"Papilio cresphontes","fc.L_rm.1",1,0.753,0.916,0.574,0.046,0.538,0.128025477707006,0.403061375638983
"Papilio cresphontes","fc.L_rm.1",2,0.506,-0.069,0.497,0.346,0.573,0.570063694267516,0.123558173614033
"Papilio cresphontes","fc.L_rm.1",3,0.807,0.998,0.611,0.008,0.648,0.239005736137667,0.460128462996532
"Papilio cresphontes","fc.L_rm.1",4,0.563,0.475,0.545,0.28,0.581,0.525175270873168,0.210274464576568
"Papilio cresphontes","fc.LQ_rm.1",1,0.761,0.82,0.593,0.101,0.476,0.13312101910828,0.443053636800595
"Papilio cresphontes","fc.LQ_rm.1",2,0.484,-0.186,0.497,0.336,0.621,0.710828025477707,0.0602425895564616
"Papilio cresphontes","fc.LQ_rm.1",3,0.775,0.993,0.618,0.007,0.671,0.144040790312301,0.41656527029376
"Papilio cresphontes","fc.LQ_rm.1",4,0.467,-0.137,0.476,0.45,0.445,0.4289356277884,0.0260908272380549
"Papilio cresphontes","fc.H_rm.1",1,0.813,0.986,0.669,0.336,0.322,0.215923566878981,0.460868080012334
"Papilio cresphontes","fc.H_rm.1",2,0.513,0.004,0.498,0.491,0.591,0.819745222929936,0.122168216705599
"Papilio cresphontes","fc.H_rm.1",3,0.73,0.982,0.671,0.011,0.639,0.077119184193754,0.418551811477242
"Papilio cresphontes","fc.H_rm.1",4,0.697,0.732,0.521,0.277,0.525,0.527087316762269,0.37238358270863
"Papilio cresphontes","fc.LQH_rm.1",1,0.813,0.985,0.669,0.338,0.3,0.180891719745223,0.460304293543814
"Papilio cresphontes","fc.LQH_rm.1",2,0.514,0.059,0.498,0.494,0.591,0.819745222929936,0.12102926454159
"Papilio cresphontes","fc.LQH_rm.1",3,0.73,0.982,0.671,0.011,0.639,0.077119184193754,0.418551811477242
"Papilio cresphontes","fc.LQH_rm.1",4,0.693,0.799,0.52,0.277,0.514,0.503505417463352,0.364219450261515
"Papilio cresphontes","fc.L_rm.2",1,0.753,0.79,0.562,0.071,0.53,0.178980891719745,0.440857741407924
"Papilio cresphontes","fc.L_rm.2",2,0.512,-0.066,0.505,0.327,0.609,0.607643312101911,0.130397690175994
"Papilio cresphontes","fc.L_rm.2",3,0.808,0.999,0.607,0.01,0.647,0.244741873804971,0.455474576411479
"Papilio cresphontes","fc.L_rm.2",4,0.537,0.156,0.565,0.215,0.626,0.595920968769917,0.144819771970824
"Papilio cresphontes","fc.LQ_rm.2",1,0.751,0.761,0.572,0.129,0.503,0.203184713375796,0.425671480264451
"Papilio cresphontes","fc.LQ_rm.2",2,0.479,-0.072,0.503,0.31,0.641,0.711464968152866,0.0539108860612567
"Papilio cresphontes","fc.LQ_rm.2",3,0.79,0.998,0.62,0.003,0.669,0.145315487571702,0.432606590350376
"Papilio cresphontes","fc.LQ_rm.2",4,0.406,-0.642,0.48,0.465,0.938,0.998725302740599,0.00127469725940088
