"climate","n_spp","perc_current_min","perc_current_mn","perc_current_md","perc_current_max","perc_change_min","perc_change_mn","perc_change_md","perc_change_max","N_shift_min","N_shift_mn","N_shift_md","N_shift_max","S_shift_min","S_shift_mn","S_shift_md","S_shift_max"
"ssp245_2041",13,10.1253929061997,39.8912655873779,35.1194275128237,88.6397474837711,16.4069202052803,138.739921383854,76.9764387941535,737.474440672583,-418,-12.1538461538462,-5,195,-148,191.076923076923,9,799
"ssp245_2071",13,11.7255007710653,39.2904852469446,33.1080898870895,88.6397474837711,24.2103409156796,148.829419177232,73.0368833739342,836.098703670617,-372,26.9230769230769,0,301,-148,235.384615384615,23,907
"ssp370_2041",13,11.8623643155758,41.3337247270482,34.990802581978,88.6397474837711,23.0128005258412,144.933951681609,74.4301918392205,768.328271097612,-346,8.92307692307692,0,232,-148,193.230769230769,9,856
"ssp370_2071",13,14.8283780705025,41.257377887256,36.5655976096278,88.6397474837711,30.2733736135224,176.051138337817,102.042494768574,1052.02588688385,-362,110.076923076923,5,521,-148,255.538461538462,60,1026
"ssp585_2041",13,12.0623256676245,39.7354046836898,31.1686645479782,88.6397474837711,22.6226538321425,146.347591297935,71.0332292935445,802.109264883966,-297,17.3076923076923,-19,269,-148,238.615384615385,42,941
"ssp585_2071",13,13.699753023335,38.5655967984557,39.2968830316074,88.6397474837711,36.2426525850101,179.506873796122,114.95928091236,1140.78176801064,-330,186.076923076923,19,658,-148,300.769230769231,102,1082
