"climate","overlap_min_14","overlap_mn_14","overlap_md_14","overlap_max_14","beta_area","sd_area","t_area","p_area","beta_nhosts","sd_nhosts","t_nhosts","p_nhosts"
"current",64.57,86.6007142857143,93.965,100,-0.596127599585858,3.91585607009725,-0.152234297919702,0.881531751382998,0.73805982655327,0.303393846028752,2.43267896239176,0.031577568458847
"ssp245_2041",0.28,82.1607142857143,94.03,100,4.9301123796204,6.85440283641642,0.719262129361211,0.485751310039044,1.35280698814362,0.566151084243337,2.38948052170853,0.0341676023165604
"ssp245_2071",0,82.4728571428571,93.955,100,5.64312465564191,6.78375168650855,0.83185896483577,0.421734153758219,1.33339729356069,0.567662842603031,2.34892473751913,0.0367844623878735
"ssp370_2041",0,82.4078571428571,94.405,100,5.39486539487273,6.81803621262812,0.791263822401024,0.444148913001701,1.33853240604969,0.569859370756462,2.34888197814989,0.0367873204250524
"ssp370_2071",0,83.3314285714286,96.665,100,5.63681077207494,6.83220706905891,0.825035118973841,0.425448881486285,1.3257673132515,0.579372047540321,2.28828318328428,0.0410588198829241
"ssp585_2041",0.22,82.25,95.12,100,5.65694921031089,6.80890975410372,0.830815712736016,0.42230067987656,1.36029745695253,0.568743199237714,2.39176039164202,0.0340259371686129
"ssp585_2071",0,83.1914285714286,97.375,100,4.6966475585358,6.90220805494882,0.680455807930673,0.509132161033889,1.36656667644225,0.580422436382106,2.35443461655332,0.0364179590811606
