genus,species,gbif_name,accepted_name,notes,gbif_count,gbif_date,include
Angelica,lucida,Angelica lucida,Angelica lucida,,962,5/18/2022,TRUE
Papilio,brevicauda,Papilio brevicauda,Papilio brevicauda,,647,5/18/2022,TRUE
Papilio,multicaudata,Papilio multicaudata,Papilio multicaudata,,7417,5/18/2022,TRUE
Prunus,emarginata,Prunus emarginata,Prunus emarginata,,3412,5/18/2022,TRUE
