"min_num_spp","distribution","climate","area_sqkm","area_prot_sqkm_national","area_prot_sqkm_state","area_prot_sqkm_local","area_prot_sqkm_private","area_prot_sqkm_none","proportion_national","proportion_state","proportion_local","proportion_private","proportion_none"
3,"total insect","current",1691983.86714221,93772.7532610648,35418.4035873833,7001.39084230926,6288.92585642399,1552077.41197276,0.0554217774070437,0.0209330622325646,0.00413797730479234,0.00371689469300087,0.917312181347356
3,"total insect","ssp245_2041",1094646.57410927,98347.9923580364,12236.4065715705,2178.84782143389,2671.04072131788,979802.689367227,0.0898445166542119,0.0111784085027877,0.00199045780891138,0.00244009416782887,0.895085877525818
3,"total insect","ssp245_2071",1085619.46103593,95122.5671883587,11416.8277275756,2106.33690178516,2604.96832838512,974911.790544281,0.087620543479932,0.0105164177111208,0.00194021660202668,0.0023995225047821,0.898023502281357
3,"total insect","ssp370_2041",1103013.01193902,97956.503354612,12126.8238007586,2047.82351359883,2620.94431834904,988811.978461055,0.0888081122292579,0.0109942708467605,0.0018565723989048,0.00237616808684932,0.896464473000907
3,"total insect","ssp370_2071",1224874.21835039,102829.783124576,13964.9057161169,2281.45232291928,2992.7529977858,1103424.10748909,0.0839513001286472,0.0114010936852963,0.00186260130937513,0.0024433145485063,0.900846871424179
3,"total insect","ssp585_2041",1091923.38113967,94508.886439537,11669.0089757711,2020.86567561338,2753.24346342892,981577.981310156,0.0865526721672499,0.0106866554717345,0.00185073944794931,0.00252146213826402,0.898944008585708
3,"total insect","ssp585_2071",1167677.1962827,97163.8260061725,16747.9825732276,2452.145463982,2853.01816886983,1048994.52005403,0.0832112045310926,0.0143429901915913,0.00210001999849651,0.00244332781178943,0.89836002911892
3,"insect + host","current",1514007.92279169,83401.4802606269,31148.1657567237,6726.99438731571,5717.69095028393,1389436.19617625,0.0550865547036521,0.0205733175420175,0.00444316987120634,0.00377652643966423,0.917720558300817
3,"insect + host","ssp245_2041",1028090.54275269,93479.0343478299,10796.8332864464,2071.56180803777,2585.40108266506,919699.487676248,0.0909249044325825,0.0105018311495583,0.00201496047467883,0.00251476010638393,0.89457051634166
3,"insect + host","ssp245_2071",1030252.10019896,91449.7170611963,10108.4655654836,2057.28018744621,2556.17287341768,924611.998048098,0.0887644073169432,0.00981164276542749,0.00199687065626842,0.00248111396513926,0.897461890996915
3,"insect + host","ssp370_2041",1042260.52841251,93775.6392485609,10576.0241376052,1967.82445741875,2529.38926725131,933934.512464857,0.0899733192346764,0.0101471981805872,0.00188803509657609,0.00242683014303908,0.896066278061356
3,"insect + host","ssp370_2071",1175389.8930472,99503.2544453625,13237.8370854417,2191.96572832362,2911.86418757548,1058125.18253561,0.0846555300789596,0.0112625071593244,0.00186488393450529,0.00247736024003615,0.900233351328572
3,"insect + host","ssp585_2041",1036198.57724132,90822.3739927236,10306.9928899741,1952.79727164168,2679.20873378909,931017.621768925,0.087649583764649,0.00994692823977274,0.00188457822132956,0.00258561321414082,0.898493437664793
3,"insect + host","ssp585_2071",1110169.10396905,93383.7299015573,12683.6265308704,2391.97472537072,2817.47511316243,999419.575543813,0.0841166715662452,0.0114249500238515,0.00215460393990338,0.00253787923217234,0.900240847966956
4,"total insect","current",704033.848368047,44650.467151604,13369.4074350348,4002.63134983992,3433.5155472244,639345.101673844,0.063420909740496,0.0189897225339735,0.00568528254588615,0.00487691828337983,0.908116993459687
4,"total insect","ssp245_2041",637998.970774638,64151.2581581512,6961.0706697007,1165.11531352203,1349.69192575244,564611.064311337,0.100550723585433,0.0109107866761114,0.0018262024970156,0.00211550799856885,0.884971747878847
4,"total insect","ssp245_2071",656003.607615954,64162.6494609534,6859.55750543056,1149.14453675122,1404.45769702893,582676.848734461,0.0978083789723857,0.0104565850336701,0.0017517350871399,0.00214092983746386,0.888222018857523
4,"total insect","ssp370_2041",649667.844566493,65584.6802870348,7363.88410820924,1171.81007747327,1374.83448991887,574441.05610493,0.100951094987313,0.0113348446745475,0.00180370644364458,0.00211621138619884,0.884207308256483
4,"total insect","ssp370_2071",717806.162268053,69522.7984318906,7261.78081358127,1224.60961074923,1776.00847375192,638269.710220628,0.0968545577990294,0.0101166320314613,0.00170604499532273,0.00247421736829378,0.889195083257417
4,"total insect","ssp585_2041",642000.560795878,64130.3814195863,6815.65343481751,1072.59427982149,1474.86870814242,568780.906596651,0.0998914725870097,0.0106162733352884,0.00167070614158314,0.0022973012769865,0.885950794017286
4,"total insect","ssp585_2071",654599.866470121,62258.3369821298,7050.68891484066,1181.02189659847,1671.05850753821,582686.840200702,0.0951089973755311,0.0107709904569045,0.00180418902766822,0.00255279384114338,0.890142008953951
4,"insect + host","current",624890.75022217,39368.3253149674,10951.1743747803,3319.38568589302,2991.0969292211,568989.862394881,0.0630003329397508,0.0175249423533421,0.00531194562363559,0.00478659178129562,0.910542942414471
4,"insect + host","ssp245_2041",616780.267862875,62090.0867566802,6516.33231476314,1129.56443549757,1288.21181195433,545985.993789885,0.100668082284507,0.0105650790959024,0.00183138873656168,0.00208860736809552,0.885219619106348
4,"insect + host","ssp245_2071",630734.261853466,62377.7325074934,6573.60520865474,1129.73738166872,1375.68356771704,559521.730442587,0.0988970098503784,0.0104221470216913,0.00179114636701183,0.00218108266970383,0.887095825107684
4,"insect + host","ssp370_2041",626333.321933934,63550.9839840177,6871.62155544108,1128.44337756606,1332.303773238,553694.243039167,0.101465117308131,0.0109711894845759,0.00180166588308244,0.00212714815990347,0.884024885231272
