"insect","climate","area_current","area_lost_both","area_lost_insect","area_lost_plant","area_gained_both","area_gained_insect","area_gained_plant"
"Papilio machaon","ssp585_2041",941685,223450,399403,32247,122158,101166,186923
"Papilio machaon","ssp585_2071",941685,297203,367388,42104,133590,101468,158925
"Papilio multicaudata","ssp245_2041",701691,23998,175752,76105,558545,217141,105786
"Papilio multicaudata","ssp245_2071",701691,37084,172987,88613,549159,206672,95477
"Papilio multicaudata","ssp370_2041",701691,26975,166818,79742,540728,210534,101003
"Papilio multicaudata","ssp370_2071",701691,80506,179985,96696,538876,193548,72545
"Papilio multicaudata","ssp585_2041",701691,35953,174376,89674,548454,209016,93633
"Papilio multicaudata","ssp585_2071",701691,126273,186614,84107,536437,182028,60373
"Papilio palamedes","ssp245_2041",150600,12462,76105,13562,140379,70853,66364
"Papilio palamedes","ssp245_2071",150600,19762,74074,13007,163598,80916,71263
"Papilio palamedes","ssp370_2041",150600,15970,79694,11365,145490,71474,68078
"Papilio palamedes","ssp370_2071",150600,43406,62307,4418,160889,78311,48849
"Papilio palamedes","ssp585_2041",150600,23021,71162,10345,168407,79365,69642
"Papilio palamedes","ssp585_2071",150600,86192,26121,10249,114524,37003,31591
"Papilio polyxenes","ssp245_2041",1641613,59917,1306838,10712,25874,112070,9198
"Papilio polyxenes","ssp245_2071",1641613,56844,1320990,10716,34712,162980,9476
"Papilio polyxenes","ssp370_2041",1641613,57230,1299274,13644,30888,137755,8922
"Papilio polyxenes","ssp370_2071",1641613,60043,1212529,6584,52166,265819,11095
"Papilio polyxenes","ssp585_2041",1641613,60464,1306135,13417,28378,143625,9427
"Papilio polyxenes","ssp585_2071",1641613,62274,1229854,12202,78011,310907,10804
"Papilio rumiko","ssp245_2041",304346,43924,168546,13398,79816,27353,20989
"Papilio rumiko","ssp245_2071",304346,49985,154849,14569,91274,29637,18065
"Papilio rumiko","ssp370_2041",304346,44792,161510,13894,82306,28391,18698
"Papilio rumiko","ssp370_2071",304346,50758,126101,19881,116747,40012,19072
"Papilio rumiko","ssp585_2041",304346,47926,162285,14813,87227,25632,17828
"Papilio rumiko","ssp585_2071",304346,62503,117386,15497,114803,41533,15867
"Papilio rutulus","ssp245_2041",591945,9795,167629,NA,68799,576723,NA
"Papilio rutulus","ssp245_2071",591945,10305,160507,NA,60542,546533,NA
"Papilio rutulus","ssp370_2041",591945,9953,160995,NA,64207,564523,NA
"Papilio rutulus","ssp370_2071",591945,9629,134712,NA,57634,563810,NA
"Papilio rutulus","ssp585_2041",591945,10078,166284,NA,62015,545374,NA
"Papilio rutulus","ssp585_2071",591945,9829,158287,NA,52270,528401,NA
"Papilio troilus","ssp245_2041",761607,227562,413322,NA,183340,52539,5902
"Papilio troilus","ssp245_2071",761607,213976,441334,NA,210141,42596,2466
"Papilio troilus","ssp370_2041",761607,216256,424884,NA,189758,56650,2670
"Papilio troilus","ssp370_2071",761607,201929,478506,NA,163011,31453,871
"Papilio troilus","ssp585_2041",761607,210402,436067,NA,217247,49585,3370
"Papilio troilus","ssp585_2071",761607,212890,487543,NA,135392,24226,741
"Papilio zelicaon","ssp245_2041",632535,16665,354966,154,100795,358358,NA
"Papilio zelicaon","ssp245_2071",632535,14526,340105,251,103611,361596,NA
"Papilio zelicaon","ssp370_2041",632535,15374,346381,251,96959,364684,NA
"Papilio zelicaon","ssp370_2071",632535,11454,291591,69,116935,377208,NA
"Papilio zelicaon","ssp585_2041",632535,16242,346553,140,100984,356163,NA
"Papilio zelicaon","ssp585_2071",632535,12195,289331,70,109114,360904,NA
