"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Papilio rumiko","ensemble_ssp370_2071",387873,69.5,13.3,9.6,3.9,2.2,1.4
"Papilio rutulus","current",219134,70.9,5.7,5,3.5,4.2,10.7
"Papilio rutulus","ensemble_ssp245_2041",334148,60.9,9.7,9.7,7.3,3.5,8.9
"Papilio rutulus","ensemble_ssp245_2071",566128,65.8,13.8,8.3,4.6,2,5.4
"Papilio rutulus","ensemble_ssp370_2041",334148,60.3,9.7,10.4,7.1,3.5,9
"Papilio rutulus","ensemble_ssp370_2071",566128,63.5,14.1,10.7,4,2.1,5.5
"Papilio troilus","current",163419,50.8,11.6,8.6,8.8,7.3,13
"Papilio troilus","ensemble_ssp245_2041",250140,43,21.9,18.2,11,5.3,0.6
"Papilio troilus","ensemble_ssp245_2071",446607,63.1,15.3,10.7,6.5,3.7,0.6
"Papilio troilus","ensemble_ssp370_2041",250140,40.3,24.3,18.4,11.6,5,0.5
"Papilio troilus","ensemble_ssp370_2071",446607,59.9,18.1,13,5.1,3.1,0.6
"Papilio zelicaon","current",296042,70.5,5.6,4.3,4.6,4.7,10.2
"Papilio zelicaon","ensemble_ssp245_2041",436888,71.7,11,4.8,4.5,3.1,4.8
"Papilio zelicaon","ensemble_ssp245_2071",713186,79.3,9.9,3,2.9,2,2.9
"Papilio zelicaon","ensemble_ssp370_2041",436888,71.1,11.6,4.6,4.7,3.1,4.9
"Papilio zelicaon","ensemble_ssp370_2071",713186,75.6,13.1,3.6,2.9,1.8,3
"Prunus serotina","current",389523,54,5.8,9.9,9.4,7.3,13.5
"Prunus serotina","ensemble_ssp245_2041",521634,81.9,11.9,3.6,1.4,0.8,0.5
"Prunus serotina","ensemble_ssp245_2071",736986,85.4,9.5,3.3,1.1,0.5,0.2
"Prunus serotina","ensemble_ssp370_2041",521634,81.2,12.5,4,1.3,0.6,0.3
"Prunus serotina","ensemble_ssp370_2071",736986,78.4,12.7,5.5,1.9,1.2,0.3
"Amyris elemifera","current",28269,71.5,17.4,4.3,3.5,2.6,0.8
"Amyris elemifera","ensemble_ssp245_2041",40408,44.9,38.4,15,1.4,0.2,0
"Amyris elemifera","ensemble_ssp245_2071",119977,17.9,62.8,10.1,8.2,1,0
"Amyris elemifera","ensemble_ssp370_2041",40408,42.5,39.2,16.8,1.3,0.2,0
"Amyris elemifera","ensemble_ssp370_2071",119977,12.9,65.6,10.3,9,2.3,0
"Ptelea trifoliata","current",449948,61.3,11,6.8,6.8,5,9.1
"Ptelea trifoliata","ensemble_ssp245_2041",574685,71,14.6,9.7,2.5,1.1,1.1
"Ptelea trifoliata","ensemble_ssp245_2071",760143,74.9,13.6,8.2,1.9,0.8,0.5
"Ptelea trifoliata","ensemble_ssp370_2041",574685,69.7,15.8,9.9,2.7,1.1,0.8
"Ptelea trifoliata","ensemble_ssp370_2071",760143,69.7,17,9.7,1.9,1.1,0.5
"Angelica lucida","current",937557,86,3.4,2.5,2.1,1.9,4.1
"Angelica lucida","ensemble_ssp245_2041",1145754,85.6,3.9,3.8,2.9,1.6,2.4
"Angelica lucida","ensemble_ssp245_2071",1381749,85.4,5,3.5,2.8,1.2,2.1
"Angelica lucida","ensemble_ssp370_2041",1145754,85.6,4.4,3.4,2.7,1.5,2.4
"Angelica lucida","ensemble_ssp370_2071",1381749,80.3,7.5,5.4,3.4,1.4,2
"Apium graveolens","current",558096,91.4,2.6,2.2,1.6,1.4,0.8
"Apium graveolens","ensemble_ssp245_2041",634368,95.4,2.1,0.7,0.6,0.9,0.3
"Apium graveolens","ensemble_ssp245_2071",815428,96.9,1.6,0.3,0.4,0.7,0.2
"Apium graveolens","ensemble_ssp370_2041",634368,95.7,2.1,0.5,0.5,0.9,0.3
"Apium graveolens","ensemble_ssp370_2071",815428,96.9,1.5,0.4,0.4,0.8,0.1
"Conioselinum chinense","current",1014404,88.6,3.5,3,1.8,1.6,1.5
"Conioselinum chinense","ensemble_ssp245_2041",1233052,65.5,12.2,9.4,6.1,4.2,2.6
"Conioselinum chinense","ensemble_ssp245_2071",1447045,63.3,14.2,9.5,5.8,4.5,2.7
"Conioselinum chinense","ensemble_ssp370_2041",1233052,61.6,14.3,10,6.6,4.5,3
"Conioselinum chinense","ensemble_ssp370_2071",1447045,51.9,21.2,11.5,7.1,5.1,3.3
"Daucus carota","current",549910,66.7,3.6,3.1,4,4.5,18.1
"Daucus carota","ensemble_ssp245_2041",711064,57.4,8.4,7.9,7.7,9,9.6
"Daucus carota","ensemble_ssp245_2071",947299,60.3,8.9,7.1,6.6,7.9,9.1
"Daucus carota","ensemble_ssp370_2041",711064,54.6,9.1,8.3,7.9,9.2,10.8
"Daucus carota","ensemble_ssp370_2071",947299,44,15.5,11.5,7.3,8.7,13
"Ligusticum scoticum","current",887982,84.2,4.3,2.6,2,1.6,5.3
"Ligusticum scoticum","ensemble_ssp245_2041",1105604,61.4,19.1,9.5,4.3,2,3.7
"Ligusticum scoticum","ensemble_ssp245_2071",1353732,58,18,12.6,5.8,2.2,3.5
"Ligusticum scoticum","ensemble_ssp370_2041",1105604,57.9,19.5,10.5,5.4,2.5,4.3
"Ligusticum scoticum","ensemble_ssp370_2071",1353732,45.5,22.4,16.9,7.4,3.3,4.7
"Pastinaca sativa","current",296594,67.1,5.3,4,5.5,5.8,12.3
"Pastinaca sativa","ensemble_ssp245_2041",474223,45,10.9,10.6,10.2,16.5,6.8
"Pastinaca sativa","ensemble_ssp245_2071",753743,53,12.8,8.4,7.2,11.2,7.4
"Pastinaca sativa","ensemble_ssp370_2041",474223,43.7,10.6,9.2,10.9,17.7,7.9
"Pastinaca sativa","ensemble_ssp370_2071",753743,46.4,11.9,9.6,8.4,12.2,11.5
"Petroselinum crispum","current",868825,56.6,12.2,10.3,9.5,6,5.3
"Petroselinum crispum","ensemble_ssp245_2041",993463,43.1,13.4,15,11.7,9.6,7.1
