"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Liriodendron tulipifera","current",150336,56.3,6.5,5.9,7.3,8.1,15.9
"Liriodendron tulipifera","ensemble_ssp245_2041",234777,24.7,19.2,26.1,15.8,11.2,2.9
"Liriodendron tulipifera","ensemble_ssp245_2071",412404,48.3,15,16.7,10.7,7.7,1.5
"Liriodendron tulipifera","ensemble_ssp370_2041",234777,20.8,20,26.9,16.6,12.8,2.9
"Liriodendron tulipifera","ensemble_ssp370_2071",412404,31.7,22.7,21.4,15.4,7.7,1.2
"Magnolia acuminata","current",126885,71.9,7.2,4.3,3.9,4.3,8.4
"Magnolia acuminata","ensemble_ssp245_2041",209368,15.2,17.2,19.4,18,22.8,7.4
"Magnolia acuminata","ensemble_ssp245_2071",379979,43.9,12,14.5,13.9,11,4.8
"Magnolia acuminata","ensemble_ssp370_2041",209368,12.9,18.2,21,21.4,19.3,7.2
"Magnolia acuminata","ensemble_ssp370_2071",379979,38.4,18.4,18.2,13.6,7.9,3.4
"Magnolia virginiana","current",113013,63.6,8.1,5.5,6.4,4.9,11.5
"Magnolia virginiana","ensemble_ssp245_2041",183222,2.3,12.5,23.5,37.4,17.4,6.8
"Magnolia virginiana","ensemble_ssp245_2071",355960,21.9,17.7,18.5,24.5,12,5.3
"Magnolia virginiana","ensemble_ssp370_2041",183222,1.4,9.8,22.8,39.5,18.8,7.7
"Magnolia virginiana","ensemble_ssp370_2071",355960,15.7,15,17.3,29.9,16,6.1
"Populus deltoides","current",501821,66.3,8.5,7.1,6.5,3.7,7.9
"Populus deltoides","ensemble_ssp245_2041",685484,26.6,17.7,13.8,15.4,18.7,7.8
"Populus deltoides","ensemble_ssp245_2071",966854,24.2,23.5,16.9,13.1,15.2,7.1
"Populus deltoides","ensemble_ssp370_2041",685484,22.3,18.2,14.2,16.3,20.4,8.6
"Populus deltoides","ensemble_ssp370_2071",966854,12.6,21.8,16.3,15.9,20.9,12.5
"Prunus americana","current",376725,55.8,11.5,12.2,7.7,7,5.8
"Prunus americana","ensemble_ssp245_2041",536739,28.8,28.8,13.2,12.4,10.5,6.3
"Prunus americana","ensemble_ssp245_2071",801267,34.9,25.7,13.6,11.5,8.7,5.6
"Prunus americana","ensemble_ssp370_2041",536739,27.7,29.6,13.4,11.8,11.2,6.4
"Prunus americana","ensemble_ssp370_2071",801267,29.5,25.2,12.7,12.7,11,8.8
"Prunus domestica","current",826551,79.2,6.2,3.6,3.2,3.6,4.2
"Prunus domestica","ensemble_ssp245_2041",936813,49.9,15.8,10,8.1,9.1,7.1
"Prunus domestica","ensemble_ssp245_2071",1089196,49.4,14.8,10.7,8.4,9.1,7.6
"Prunus domestica","ensemble_ssp370_2041",936813,46.4,17,10.5,8.6,9.7,7.8
"Prunus domestica","ensemble_ssp370_2071",1089196,38.2,13,12.6,10.6,13.7,11.8
"Sassafras albidum","current",153557,47.2,11.1,9.2,10,7.4,15.2
"Sassafras albidum","ensemble_ssp245_2041",241813,42.6,31.2,22.3,3,0.8,0
"Sassafras albidum","ensemble_ssp245_2071",433927,64.6,20,12.9,2.2,0.3,0
"Sassafras albidum","ensemble_ssp370_2041",241813,40.7,31.9,24.1,2.8,0.5,0
"Sassafras albidum","ensemble_ssp370_2071",433927,62.8,21.2,14,1.8,0.2,0
"Cymopterus purpureus","current",23090,47.7,16.5,13.9,11.7,7.3,3
"Cymopterus purpureus","ensemble_ssp245_2041",94352,13.9,29.9,26,23.1,7,0
"Cymopterus purpureus","ensemble_ssp245_2071",267490,21.8,40.1,19,15.4,3.8,0
"Cymopterus purpureus","ensemble_ssp370_2041",94352,12.6,31.4,26.8,22.1,7.1,0
"Cymopterus purpureus","ensemble_ssp370_2071",267490,19.3,42.5,17.8,16.5,3.8,0
"Harbouria trachypleura","current",26562,81.2,8.8,3.7,2,1.6,2.6
"Harbouria trachypleura","ensemble_ssp245_2041",104789,6.8,34.7,49.6,6,2.3,0.6
"Harbouria trachypleura","ensemble_ssp245_2071",314444,6.9,34.3,38.4,19.4,0.9,0.2
"Harbouria trachypleura","ensemble_ssp370_2041",104789,6.9,36.3,49.9,4.5,2.1,0.4
"Harbouria trachypleura","ensemble_ssp370_2071",314444,5.4,37.7,39.7,16.7,0.5,0
"Lomatium dissectum","current",178591,70.2,11,6.4,4.9,3.4,4.1
"Lomatium dissectum","ensemble_ssp245_2041",287701,28.9,45.8,16.7,2.7,2.3,3.5
"Lomatium dissectum","ensemble_ssp245_2071",507862,20.2,45.5,28.9,1.8,1.6,2.1
"Lomatium dissectum","ensemble_ssp370_2041",287701,25,47.8,18.3,2.7,2.3,4.1
"Lomatium dissectum","ensemble_ssp370_2071",507862,13.5,45.6,34.8,1.6,1.9,2.6
"Lomatium grayi","current",87134,39.9,14.7,19.2,9.9,8.9,7.3
"Lomatium grayi","ensemble_ssp245_2041",199500,22.4,26.3,19.8,18.6,11.2,1.7
"Lomatium grayi","ensemble_ssp245_2071",402019,16.6,27.8,17.5,29.8,7.5,0.8
"Lomatium grayi","ensemble_ssp370_2041",199500,20.8,26.3,18,20.4,12.5,2.1
"Lomatium grayi","ensemble_ssp370_2071",402019,14.3,27.8,18.8,28.9,9.1,1
"Lomatium lucidum","current",5707,62.7,13.4,6.3,6.4,3.5,7.6
"Lomatium lucidum","ensemble_ssp245_2041",32317,50.9,28.7,13.4,4.8,1.2,1
"Lomatium lucidum","ensemble_ssp245_2071",115612,18.7,24.6,38.6,11.8,4.5,1.9
"Lomatium lucidum","ensemble_ssp370_2041",32317,53.2,26.8,13.1,4.3,1.4,1.2
"Lomatium lucidum","ensemble_ssp370_2071",115612,19.6,26.8,35.5,11.5,4.8,1.8
"Lomatium marginatum","current",6172,60.4,8.5,5.2,9.4,9,7.4
"Lomatium marginatum","ensemble_ssp245_2041",36243,24.4,59.8,15.7,0.1,0,0
"Lomatium marginatum","ensemble_ssp245_2071",114402,11.1,74.2,14.6,0,0,0
"Lomatium marginatum","ensemble_ssp370_2041",36243,23.4,63.8,12.7,0.1,0,0
"Lomatium marginatum","ensemble_ssp370_2071",114402,9.6,71.1,19.2,0.1,0,0
"Lomatium parryi","current",39806,83.3,7.4,3.1,2,1.6,2.6
"Lomatium parryi","ensemble_ssp245_2041",114963,29.1,24.9,30.2,12.8,2.7,0.3
"Lomatium parryi","ensemble_ssp245_2071",265625,22,21.8,33.2,17.6,4.8,0.7
"Lomatium parryi","ensemble_ssp370_2041",114963,27.5,23.5,31.3,15.4,2.2,0.2
"Lomatium parryi","ensemble_ssp370_2071",265625,20,18.1,30.9,20.5,9.9,0.6
"Lomatium triternatum","current",143137,61.7,7.9,11,5.7,6,7.7
"Lomatium triternatum","ensemble_ssp245_2041",257209,58.9,20.7,6.4,3.6,5,5.4
"Lomatium triternatum","ensemble_ssp245_2071",480128,60,27.9,4.6,2,3,2.5
"Lomatium triternatum","ensemble_ssp370_2041",257209,55.2,24,6.6,3.8,5.2,5.2
"Lomatium triternatum","ensemble_ssp370_2071",480128,52.3,34.5,5.5,2.1,3.1,2.4
"Pteryxia petraea","current",93085,67.7,11,6.5,6.5,6,2.3
"Pteryxia petraea","ensemble_ssp245_2041",185893,58.6,29.7,11.5,0.1,0,0
"Pteryxia petraea","ensemble_ssp245_2071",360664,53.3,25.2,21.5,0,0,0
"Pteryxia petraea","ensemble_ssp370_2041",185893,56.8,30.1,13,0.1,0,0
"Pteryxia petraea","ensemble_ssp370_2071",360664,45.5,27.6,26.9,0,0,0
"Pteryxia terebinthina","current",111105,68.1,12.2,6.9,5.4,4.6,2.9
"Pteryxia terebinthina","ensemble_ssp245_2041",195623,29.6,17.9,27.1,17.7,6.3,1.4
"Pteryxia terebinthina","ensemble_ssp245_2071",379959,30.8,17.2,39.5,9.6,2.5,0.4
"Pteryxia terebinthina","ensemble_ssp370_2041",195623,29,17.7,26.7,18,7.1,1.6
"Pteryxia terebinthina","ensemble_ssp370_2071",379959,31.3,15.3,42.8,8.2,2.1,0.3
"Tauschia arguta","current",4055,56.9,7.8,5.5,5.3,5,19.5
"Tauschia arguta","ensemble_ssp245_2041",28742,41.5,43.1,12.1,3.2,0.1,0
"Tauschia arguta","ensemble_ssp245_2071",108362,31.4,46,13.7,8.8,0.1,0
"Tauschia arguta","ensemble_ssp370_2041",28742,42.7,42.6,11.1,3.4,0.2,0
"Tauschia arguta","ensemble_ssp370_2071",108362,29.8,46.4,14.3,9.2,0.3,0
"Tauschia parishii","current",5267,65.1,11.1,2.9,2.7,8.7,9.6
"Tauschia parishii","ensemble_ssp245_2041",33167,20.7,39.7,35.6,2.9,0.9,0.2
"Tauschia parishii","ensemble_ssp245_2071",117032,6.4,34.3,51.3,7.6,0.4,0
"Tauschia parishii","ensemble_ssp370_2041",33167,19.9,43.6,33.7,1.9,0.7,0.2
"Tauschia parishii","ensemble_ssp370_2071",117032,6.1,29.2,56.2,8.1,0.4,0
"Thamnosma montana","current",25656,71.1,6.3,3.9,3,4.9,10.8
"Thamnosma montana","ensemble_ssp245_2041",78825,70.2,13.9,7.6,3.3,3.2,1.8
"Thamnosma montana","ensemble_ssp245_2071",199580,74.2,14.6,6.8,1.8,1.9,0.8
"Thamnosma montana","ensemble_ssp370_2041",78825,69.6,14.2,7.9,3.3,3.2,1.7
"Thamnosma montana","ensemble_ssp370_2071",199580,66.8,19,10.4,1.4,1.9,0.5
"Aegopodium podagraria","current",548970,74.5,2.6,3.5,3.6,4,11.9
"Aegopodium podagraria","ensemble_ssp245_2041",753860,42,26.4,10.1,9.3,6.9,5.2
"Aegopodium podagraria","ensemble_ssp245_2071",1001091,43.6,23.7,11.5,9.6,6.8,4.9
"Aegopodium podagraria","ensemble_ssp370_2041",753860,38.1,25.5,12.4,10.2,8.1,5.8
"Aegopodium podagraria","ensemble_ssp370_2071",1001091,32.3,22.6,13.2,12.7,9.6,9.7
"Anethum graveolens","current",894088,65.3,6.1,4.3,9.6,7.1,7.7
"Anethum graveolens","ensemble_ssp245_2041",989102,39.9,14.9,13.5,12.4,11,8.3
"Anethum graveolens","ensemble_ssp245_2071",1180165,30.5,13.5,20.9,15.8,10.7,8.5
"Anethum graveolens","ensemble_ssp370_2041",989102,35,14.3,16.1,14,11.5,9.1
"Anethum graveolens","ensemble_ssp370_2071",1180165,21.4,9.4,19.6,21,14.9,13.7
"Angelica sylvestris","current",44666,82.5,6,4.6,1.9,1.6,3.5
"Angelica sylvestris","ensemble_ssp245_2041",114555,67.7,14.1,15.4,2.8,0,0
"Angelica sylvestris","ensemble_ssp245_2071",270645,53.4,27.4,18.4,0.8,0,0
"Angelica sylvestris","ensemble_ssp370_2041",114555,60.2,17.4,19.5,2.8,0,0
"Angelica sylvestris","ensemble_ssp370_2071",270645,39,34.9,25.3,0.8,0,0
"Artemisia dracunculus","current",784980,68.3,9,8.9,4.2,3.2,6.4
"Artemisia dracunculus","ensemble_ssp245_2041",1006414,70.7,13.6,5.5,3.5,3.2,3.6
"Artemisia dracunculus","ensemble_ssp245_2071",1293354,68,15.9,7.7,3.6,2.4,2.5
"Artemisia dracunculus","ensemble_ssp370_2041",1006414,69,14.7,6.2,3.7,3.2,3.3
"Artemisia dracunculus","ensemble_ssp370_2071",1293354,56.2,21.7,12,5.2,2.9,2
"Artemisia norvegica","current",558064,70.4,8.5,5.4,4.2,4.4,7.1
"Artemisia norvegica","ensemble_ssp245_2041",704341,73.1,14.7,4.3,3.5,2.6,1.9
"Artemisia norvegica","ensemble_ssp245_2071",967039,71.7,19.9,4.5,2.4,0.9,0.6
"Artemisia norvegica","ensemble_ssp370_2041",704341,74.6,15,3.9,3.3,1.8,1.4
"Artemisia norvegica","ensemble_ssp370_2071",967039,78.9,17.4,2,1.1,0.5,0.1
"Carum carvi","current",810239,71.2,8.6,5.7,4.9,6.3,3.3
"Carum carvi","ensemble_ssp245_2041",1011455,73.1,15.9,5.5,3.2,1.9,0.3
"Carum carvi","ensemble_ssp245_2071",1282729,73,16.6,5.5,2.9,1.6,0.4
"Carum carvi","ensemble_ssp370_2041",1011455,71.7,16.9,5.7,3.3,2.1,0.4
"Carum carvi","ensemble_ssp370_2071",1282729,69,16.4,8.1,4.2,2,0.4
"Pimpinella saxifraga","current",457037,65.8,9.1,7.1,5.5,9.5,2.9
"Pimpinella saxifraga","ensemble_ssp245_2041",669188,56.5,16.1,13.2,6.2,7.1,0.8
"Pimpinella saxifraga","ensemble_ssp245_2071",950680,53,16.7,15.1,8.5,6.2,0.5
"Pimpinella saxifraga","ensemble_ssp370_2041",669188,54.3,16.6,13.8,6.5,7.9,0.8
"Pimpinella saxifraga","ensemble_ssp370_2071",950680,43.2,17.5,18.6,12.3,7.9,0.5
"Ruta chalepensis","current",488261,80.6,6.3,4.3,2.7,1.9,4.2
"Ruta chalepensis","ensemble_ssp245_2041",572119,41.2,31.6,19.9,2.3,2,3.1
"Ruta chalepensis","ensemble_ssp245_2071",744690,35.1,34.4,24.4,2.1,1.7,2.2
"Ruta chalepensis","ensemble_ssp370_2041",572119,40.1,31.9,20.7,2.3,2,3
"Ruta chalepensis","ensemble_ssp370_2071",744690,33,32.8,29.1,2.2,1.3,1.7
"Zizia aptera","current",468321,63.5,10.2,6.1,5.3,5.2,9.8
"Zizia aptera","ensemble_ssp245_2041",695443,49.8,24.5,17.8,6.5,1.3,0.1
"Zizia aptera","ensemble_ssp245_2071",999786,48.6,25.9,19.4,4.5,1.3,0.2
"Zizia aptera","ensemble_ssp370_2041",695443,47.6,25.7,19.7,5.6,1.3,0.2
"Zizia aptera","ensemble_ssp370_2071",999786,45,26.9,23.5,2.9,1.3,0.3
"Fraxinus anomala","current",35948,58.5,9.9,4.7,5.4,6.2,15.4
"Fraxinus anomala","ensemble_ssp245_2041",111345,7.1,28.6,17.4,17.4,18.3,11.1
"Fraxinus anomala","ensemble_ssp245_2071",266924,3.5,19.4,14.2,15.8,25.7,21.4
"Fraxinus anomala","ensemble_ssp370_2041",111345,7.4,27,17.2,16.6,20.3,11.6
"Fraxinus anomala","ensemble_ssp370_2071",266924,3.6,20.6,12.7,12.7,25.6,24.8
"Fraxinus latifolia","current",35107,67.1,6.9,4.2,5.2,6.3,10.4
"Fraxinus latifolia","ensemble_ssp245_2041",92918,52,14.4,8.8,5,7,12.8
"Fraxinus latifolia","ensemble_ssp245_2071",234181,67.9,13,5.9,3.8,4,5.4
"Fraxinus latifolia","ensemble_ssp370_2041",92918,49,16.1,9.6,4.9,7.7,12.7
"Fraxinus latifolia","ensemble_ssp370_2071",234181,61.1,15.2,7.4,5.4,5.2,5.7
"Ligustrum lucidum","current",426281,79.6,4.4,2,2.5,3.3,8.2
"Ligustrum lucidum","ensemble_ssp245_2041",521658,50.4,19.3,7.5,12.1,7.9,2.8
"Ligustrum lucidum","ensemble_ssp245_2071",687394,52.8,21.7,5,11.4,6.9,2.2
"Ligustrum lucidum","ensemble_ssp370_2041",521658,48.9,19.6,7.8,13.4,7.6,2.7
"Ligustrum lucidum","ensemble_ssp370_2071",687394,45.4,25.7,5.3,15.1,6.7,1.9
"Ligustrum vulgare","current",509657,78.5,4.3,3.9,3.1,3.4,6.8
"Ligustrum vulgare","ensemble_ssp245_2041",695995,45.8,15.1,8.7,6.8,8.9,14.8
"Ligustrum vulgare","ensemble_ssp245_2071",938866,52.6,15.1,6.8,5.3,7.2,13
"Ligustrum vulgare","ensemble_ssp370_2041",695995,43.3,16.2,8.8,6.9,8.5,16.2
"Ligustrum vulgare","ensemble_ssp370_2071",938866,40.5,18.1,9,7.9,9.2,15.3
"Platanus racemosa","current",14319,65.1,6.6,3.4,3,4.3,17.5
"Platanus racemosa","ensemble_ssp245_2041",52615,35.4,34,26.8,3.8,0.1,0
"Platanus racemosa","ensemble_ssp245_2071",146875,48.3,34.7,14.3,2.5,0.2,0
"Platanus racemosa","ensemble_ssp370_2041",52615,38.4,31.2,26.6,3.7,0.1,0
"Platanus racemosa","ensemble_ssp370_2071",146875,51.1,32.3,13.5,2.8,0.2,0
"Platanus wrightii","current",21311,67.4,10.1,5,4.4,3.8,9.2
"Platanus wrightii","ensemble_ssp245_2041",81295,8.3,31.9,27.4,22.1,7.8,2.5
"Platanus wrightii","ensemble_ssp245_2071",206619,3.6,18.8,27.3,25.1,14.2,11
"Platanus wrightii","ensemble_ssp370_2041",81295,8,32.7,26.4,22.5,8.1,2.3
"Platanus wrightii","ensemble_ssp370_2071",206619,4.7,18.2,25.3,24.4,15.3,12.1
"Ptelea crenulata","current",29755,86.1,1.7,2.1,2.9,4.2,3
"Ptelea crenulata","ensemble_ssp245_2041",72157,91.7,5.2,1.5,0.8,0.4,0.3
"Ptelea crenulata","ensemble_ssp245_2071",182521,93.5,3.9,1.5,0.7,0.3,0.1
"Ptelea crenulata","ensemble_ssp370_2041",72157,91,5.7,1.6,0.8,0.5,0.4
"Ptelea crenulata","ensemble_ssp370_2071",182521,88.7,7.2,2.1,1.2,0.7,0.2
"Vauquelinia californica","current",96901,85.1,8.3,2.2,1.1,1,2.3
"Vauquelinia californica","ensemble_ssp245_2041",177786,54.1,33.3,8.2,2,1.5,0.9
"Vauquelinia californica","ensemble_ssp245_2071",317231,37.7,44,15.8,1.2,0.8,0.5
"Vauquelinia californica","ensemble_ssp370_2041",177786,53,34.5,8.3,2,1.3,0.8
"Vauquelinia californica","ensemble_ssp370_2071",317231,35,43.5,18.9,1.4,0.7,0.5
"Persea borbonia","current",63020,72.4,3.8,9,4.1,3.9,6.8
"Persea borbonia","ensemble_ssp245_2041",129132,70.4,22.7,4,1.2,1.7,0
"Persea borbonia","ensemble_ssp245_2071",296021,74.2,20,4,1.1,0.7,0
"Persea borbonia","ensemble_ssp370_2041",129132,69.5,23.3,4.2,1.5,1.5,0
"Persea borbonia","ensemble_ssp370_2071",296021,77,16.7,5.2,0.8,0.3,0
"Angelica atropurpurea","current",535087,85,2.7,1.6,1.6,2.6,6.3
"Angelica atropurpurea","ensemble_ssp245_2041",691027,87.6,7.6,3.1,1.4,0.3,0
"Angelica atropurpurea","ensemble_ssp245_2071",917293,88,8,2.8,1.1,0.2,0
"Angelica atropurpurea","ensemble_ssp370_2041",691027,87,8.4,3.2,1.1,0.2,0
"Angelica atropurpurea","ensemble_ssp370_2071",917293,80.2,11.8,5,2.2,0.6,0.1
"Angelica venenosa","current",191951,65.5,4.8,6.5,5.6,8.6,9.1
"Angelica venenosa","ensemble_ssp245_2041",286984,72.9,18.4,7.3,1,0.3,0.2
"Angelica venenosa","ensemble_ssp245_2071",494142,76.3,13.9,6.3,1.9,1.2,0.3
"Angelica venenosa","ensemble_ssp370_2041",286984,75,17.6,6.3,0.6,0.2,0.2
"Angelica venenosa","ensemble_ssp370_2071",494142,79,14.6,4.1,1.3,0.8,0.3
"Berula erecta","current",533318,47.1,11,17.8,8.3,5.9,9.8
"Berula erecta","ensemble_ssp245_2041",656317,47.9,18.7,11.7,12.4,4.7,4.7
"Berula erecta","ensemble_ssp245_2071",859037,54.9,18.6,9.2,10.8,3.7,2.8
"Berula erecta","ensemble_ssp370_2041",656317,47.1,19.5,11,13.6,4.7,4.2
"Berula erecta","ensemble_ssp370_2071",859037,47.8,22.6,10.2,12.6,4.5,2.2
"Cicuta bulbifera","current",674524,75.9,4.7,2.8,2.7,2.5,11.3
"Cicuta bulbifera","ensemble_ssp245_2041",957892,55.1,24.7,11.2,5.8,2.1,1
"Cicuta bulbifera","ensemble_ssp245_2071",1296630,43.8,33.5,12.3,6.8,2.9,0.8
"Cicuta bulbifera","ensemble_ssp370_2041",957892,49.9,26.2,13.2,7.1,2.8,0.9
"Cicuta bulbifera","ensemble_ssp370_2071",1296630,29.8,34,16.2,13,5.3,1.6
"Cicuta douglasii","current",472121,62.8,6.7,5.9,8.8,6.7,9.2
"Cicuta douglasii","ensemble_ssp245_2041",658253,59.9,16.3,5.8,3.4,4.9,9.6
"Cicuta douglasii","ensemble_ssp245_2071",995573,59.7,21.4,5.6,2.9,3.7,6.8
"Cicuta douglasii","ensemble_ssp370_2041",658253,59.8,16.9,6,3.6,4.6,9.1
"Cicuta douglasii","ensemble_ssp370_2071",995573,56.1,25.4,6.2,3,3.3,6
"Cicuta maculata","current",760096,64.4,7.6,5.2,6.4,4.8,11.7
"Cicuta maculata","ensemble_ssp245_2041",917876,84.6,11.2,2.8,0.9,0.4,0.1
"Cicuta maculata","ensemble_ssp245_2071",1152730,82.7,12.9,3.1,0.9,0.3,0.1
"Cicuta maculata","ensemble_ssp370_2041",917876,84.1,11.5,3.1,0.9,0.4,0
"Cicuta maculata","ensemble_ssp370_2071",1152730,79.9,14.7,3.5,1.4,0.4,0.2
"Conium maculatum","current",581100,75,5.7,3.6,3.7,3.8,8.1
"Conium maculatum","ensemble_ssp245_2041",709482,49.9,21.8,9.3,7.2,3.8,8
"Conium maculatum","ensemble_ssp245_2071",910253,54.2,22.1,8.2,5.5,3.2,6.7
"Conium maculatum","ensemble_ssp370_2041",709482,48.9,22.3,9.6,6.8,3.7,8.7
"Conium maculatum","ensemble_ssp370_2071",910253,46.2,25.9,10.7,6.7,4,6.5
"Cryptotaenia canadensis","current",224275,56.8,7.3,5.4,9,7.2,14.3
"Cryptotaenia canadensis","ensemble_ssp245_2041",343080,38.6,19.1,24,7.2,5.2,5.9
"Cryptotaenia canadensis","ensemble_ssp245_2071",565904,51,16.6,19.1,6.1,3.8,3.4
"Cryptotaenia canadensis","ensemble_ssp370_2041",343080,36,18.5,25.8,8.7,4.9,6.1
"Cryptotaenia canadensis","ensemble_ssp370_2071",565904,35.5,18.6,23.5,11.4,5.9,5.2
"Daucus pusillus","current",406304,79.2,4.2,2.3,2.4,3.8,8.1
"Daucus pusillus","ensemble_ssp245_2041",537349,75,9.1,7.6,3.2,1.7,3.4
"Daucus pusillus","ensemble_ssp245_2071",756918,75.1,10.6,7.5,2.8,1.3,2.6
"Daucus pusillus","ensemble_ssp370_2041",537349,72.7,10.4,8.2,3.6,1.5,3.5
"Daucus pusillus","ensemble_ssp370_2071",756918,68.6,12.5,10.7,3.3,1.9,3
"Foeniculum vulgare","current",688296,91.1,3.4,1.6,0.9,0.8,2.3
"Foeniculum vulgare","ensemble_ssp245_2041",798610,76.5,12,5.8,2.3,1.5,2
"Foeniculum vulgare","ensemble_ssp245_2071",996742,78.5,10.4,5.3,2.6,1.6,1.6
"Foeniculum vulgare","ensemble_ssp370_2041",798610,75.4,12,6.3,2.7,1.8,1.9
"Foeniculum vulgare","ensemble_ssp370_2071",996742,74.6,10.9,6.2,3.6,2.6,2
"Osmorhiza longistylis","current",399496,66.5,4.3,2.4,4.9,6.4,15.6
"Osmorhiza longistylis","ensemble_ssp245_2041",593480,63.5,15.8,12.1,3.6,2.7,2.4
"Osmorhiza longistylis","ensemble_ssp245_2071",911462,66.8,17.3,9.9,2.3,1.7,2
"Osmorhiza longistylis","ensemble_ssp370_2041",593480,61.7,16.5,13.1,3.3,2.9,2.5
"Osmorhiza longistylis","ensemble_ssp370_2071",911462,56.1,21.3,14.6,4.5,1.5,2.1
"Ptilimnium capillaceum","current",112041,79.7,7.9,2.8,1.9,2.1,5.7
"Ptilimnium capillaceum","ensemble_ssp245_2041",188742,73.5,22.2,2.4,0.6,0.9,0.4
"Ptilimnium capillaceum","ensemble_ssp245_2071",370834,81.2,15.5,2.3,0.5,0.3,0.2
"Ptilimnium capillaceum","ensemble_ssp370_2041",188742,70.3,25,3,0.6,0.8,0.2
"Ptilimnium capillaceum","ensemble_ssp370_2071",370834,77.4,18.6,3.5,0.5,0,0
"Sium suave","current",879565,72,7.3,4.6,3,3.5,9.6
"Sium suave","ensemble_ssp245_2041",1079035,62.8,12.9,8.7,8.7,5.2,1.7
"Sium suave","ensemble_ssp245_2071",1337395,63.8,11.7,7.3,9.3,6.1,1.8
"Sium suave","ensemble_ssp370_2041",1079035,60.5,12.9,8.2,10.4,6,2
"Sium suave","ensemble_ssp370_2071",1337395,54.8,13.7,9.1,10.7,9.5,2.3
"Spermolepis divaricata","current",326035,71.5,9.4,3.2,2.7,5.7,7.4
"Spermolepis divaricata","ensemble_ssp245_2041",443482,23.5,42.8,8,14.2,8.5,3
"Spermolepis divaricata","ensemble_ssp245_2071",654352,26.8,45.2,8.1,11.3,7.4,1.2
"Spermolepis divaricata","ensemble_ssp370_2041",443482,21.5,43.3,8.2,15.2,9.3,2.3
"Spermolepis divaricata","ensemble_ssp370_2071",654352,19.3,47.6,9.9,12.9,9.5,0.8
"Taenidia integerrima","current",169469,49.7,12.5,10.7,8.2,7.6,11.4
"Taenidia integerrima","ensemble_ssp245_2041",275122,28.6,24.3,33.6,6.7,3.9,2.7
"Taenidia integerrima","ensemble_ssp245_2071",477527,46,21.2,23.2,5.1,3.4,1.1
"Taenidia integerrima","ensemble_ssp370_2041",275122,26.7,25.5,34.7,6.3,4.3,2.5
"Taenidia integerrima","ensemble_ssp370_2071",477527,32.3,30.4,24.5,8.3,4,0.6
"Thamnosma texana","current",78863,49.4,8.9,10.9,7.2,11.5,12.2
"Thamnosma texana","ensemble_ssp245_2041",171097,42.1,29.2,13.2,7.5,4.4,3.5
"Thamnosma texana","ensemble_ssp245_2071",319391,40.3,33.1,13.8,6.9,3.7,2.3
"Thamnosma texana","ensemble_ssp370_2041",171097,40.3,29.3,14.2,7.9,4.6,3.7
"Thamnosma texana","ensemble_ssp370_2071",319391,35.9,33.7,15.8,8.5,4,2.1
"Thaspium barbinode","current",120017,48.7,13.4,10.1,10.5,10.5,6.7
"Thaspium barbinode","ensemble_ssp245_2041",200869,10.9,52.2,24.2,9,3.7,0
"Thaspium barbinode","ensemble_ssp245_2071",371577,17.3,58.3,16.8,6.3,1.3,0
"Thaspium barbinode","ensemble_ssp370_2041",200869,9.4,54.7,22.7,10.3,3,0
"Thaspium barbinode","ensemble_ssp370_2071",371577,14.9,60,19.1,5.4,0.5,0
"Zizia aurea","current",275924,58.1,8.1,11.2,8.3,5.1,9.1
"Zizia aurea","ensemble_ssp245_2041",425546,53,22.8,15.3,4.4,2.9,1.7
"Zizia aurea","ensemble_ssp245_2071",681899,57,22.4,12.6,4.3,2.6,1.1
"Zizia aurea","ensemble_ssp370_2041",425546,48.3,25,16.8,5,3.3,1.5
"Zizia aurea","ensemble_ssp370_2071",681899,44.9,21.7,17.6,9.4,4.4,1.8
"Amyris texana","current",16892,68.1,10.7,7.1,4.8,5.4,3.9
"Amyris texana","ensemble_ssp245_2041",61968,48.4,22.7,15.6,7.8,4.9,0.4
"Amyris texana","ensemble_ssp245_2071",185364,31.3,40.2,11.6,13.4,2.9,0.5
"Amyris texana","ensemble_ssp370_2041",61968,47.5,21.9,15.4,8.9,5.7,0.5
"Amyris texana","ensemble_ssp370_2071",185364,31.3,35.4,12.4,15.5,4.7,0.8
"Zanthoxylum fagara","current",118526,73.2,6.4,5.2,3.9,3.8,7.6
"Zanthoxylum fagara","ensemble_ssp245_2041",176284,70.7,12.7,5.5,4.9,3.2,3.1
"Zanthoxylum fagara","ensemble_ssp245_2071",293225,75.9,13.2,3.8,3.4,1.8,1.9
"Zanthoxylum fagara","ensemble_ssp370_2041",176284,67.1,15.2,5.6,5.9,3.2,3.1
"Zanthoxylum fagara","ensemble_ssp370_2071",293225,67.7,19.6,5.9,4.1,1.6,1
"Alnus alnobetula","current",1043798,73.6,5.8,3.6,4.5,4.9,7.6
"Alnus alnobetula","ensemble_ssp245_2041",1208122,79,6.7,4.6,3.7,3.8,2.3
"Alnus alnobetula","ensemble_ssp245_2071",1413202,81.5,5.4,3.7,3.5,3.7,2.2
"Alnus alnobetula","ensemble_ssp370_2041",1208122,78.6,6.5,4.2,3.8,4.2,2.7
"Alnus alnobetula","ensemble_ssp370_2071",1413202,77.1,9.4,4.6,3,3.5,2.3
