"climate_model","agency","mean","stdev","count"
"current","Local",1.73877131938934,1.64260196685791,1056.60546875
"current","National",0.29681259393692,0.789814412593842,136375.5625
"current","Private",1.24234044551849,1.49930369853973,1502.23132324219
"current","State",0.330307483673096,0.785168409347534,54241.02734375
"current","None",0.478776276111603,1.0064982175827,1228890.5
"ssp245_2041","Local",0.920944213867188,1.21545433998108,1051.54187011719
"ssp245_2041","National",0.269460022449493,0.892511367797852,141641.46875
"ssp245_2041","Private",0.755537450313568,1.21838438510895,1487.78527832031
"ssp245_2041","State",0.196298584342003,0.623952984809875,58657.8671875
"ssp245_2041","None",0.391903728246689,0.974394500255585,1301089.5
"ssp245_2071","Local",0.918448686599731,1.20993280410767,1051.54187011719
"ssp245_2071","National",0.275805532932281,0.894919753074646,141641.46875
"ssp245_2071","Private",0.770338714122772,1.22362494468689,1487.78527832031
"ssp245_2071","State",0.230335533618927,0.642944812774658,58657.8671875
"ssp245_2071","None",0.415667682886124,0.985026121139526,1301089.5
"ssp370_2041","Local",0.932626664638519,1.20644402503967,1051.54187011719
"ssp370_2041","National",0.275500386953354,0.904826402664185,141641.46875
"ssp370_2041","Private",0.782768487930298,1.22496461868286,1487.78527832031
"ssp370_2041","State",0.217340677976608,0.644120395183563,58657.8671875
"ssp370_2041","None",0.408792793750763,0.988927900791168,1301089.5
"ssp370_2071","Local",0.944811344146729,1.24196982383728,1051.54187011719
"ssp370_2071","National",0.312164843082428,0.931726336479187,141641.46875
"ssp370_2071","Private",0.85103040933609,1.3628249168396,1487.78527832031
"ssp370_2071","State",0.314652919769287,0.707177877426147,58657.8671875
"ssp370_2071","None",0.477783232927322,1.03214204311371,1301089.5
"ssp585_2041","Local",0.907281696796417,1.19170081615448,1051.54187011719
"ssp585_2041","National",0.269433826208115,0.889760196208954,141641.46875
"ssp585_2041","Private",0.797385096549988,1.23880314826965,1487.78527832031
"ssp585_2041","State",0.224474281072617,0.6381955742836,58657.8671875
"ssp585_2041","None",0.41437503695488,0.985580146312714,1301089.5
"ssp585_2071","Local",0.917253196239471,1.27099132537842,1051.54187011719
"ssp585_2071","National",0.295286566019058,0.889084160327911,141641.46875
"ssp585_2071","Private",0.784676790237427,1.33168196678162,1487.78527832031
"ssp585_2071","State",0.356083244085312,0.715785682201385,58657.8671875
"ssp585_2071","None",0.472315222024918,1.00105786323547,1301089.5
