"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio glaucus","insect + host","ssp370_2071",183977,50.56,34.48,-65.6,-95.62,46.02,38.31,-80.08,-89.81,142780,738633,41197,380,597,-437,0,NA,0.2
"Papilio indra","total insect","current",353707,50.27,31.46,-104.85,-123.96,44.85,37.19,-112.23,-121.44,NA,NA,NA,NA,NA,NA,NA,68.79,NA
"Papilio indra","total insect","ssp245_2041",1238540,53.02,32.81,-100.96,-124.52,48.65,36.35,-104.6,-121.31,1112201,227368,126339,463,-51,578,75,50.12,NA
"Papilio indra","total insect","ssp245_2071",1288520,54.15,27.94,-100.85,-125.83,48.35,36.27,-104.29,-120.79,1168535,233722,119985,458,-46,600,91,48.59,NA
"Papilio indra","total insect","ssp370_2041",1258410,52.92,32.83,-100.77,-124.13,47.98,36.17,-104.48,-121.31,1126387,221684,132023,459,-23,580,76,50.19,NA
"Papilio indra","total insect","ssp370_2071",1207805,53.73,28.1,-100.65,-125.21,48.31,36.19,-104.1,-121,1085696,231599,122109,278,-5,600,65,50.09,NA
"Papilio indra","insect + host","current",243332,50.27,32.06,-105.02,-123.92,43.83,37.79,-113.48,-121.23,NA,NA,NA,NA,NA,NA,NA,NA,52.69
"Papilio indra","insect + host","ssp245_2041",620762,51.98,34.06,-104.33,-123.33,47.98,37.02,-108.27,-121.35,537163,159732,83600,144,12,295,32,NA,67.64
"Papilio indra","insect + host","ssp245_2071",626076,51.75,27.94,-104.69,-123.35,48.04,37.08,-106.6,-120.94,547148,164403,78928,215,-42,391,32,NA,65.99
"Papilio indra","insect + host","ssp370_2041",631603,52.06,34.38,-104.65,-123.44,47.65,37.15,-108.19,-121.35,544171,155899,87432,116,28,300,28,NA,64.83
"Papilio indra","insect + host","ssp370_2071",604970,52.19,28.1,-103.48,-123.4,47.77,37.52,-106.31,-121.35,525831,164193,79138,255,-39,426,19,NA,61.39
"Papilio machaon","total insect","current",1556296,69.79,33.33,-78.96,-168.96,64.9,57.94,-108.73,-121.73,NA,NA,NA,NA,NA,NA,NA,41.47,NA
"Papilio machaon","total insect","ssp245_2041",1141525,71.27,31.65,-67.52,-168.94,60.98,58.94,-110.77,-121.94,580510,995281,561015,-176,60,-130,-16,49.35,NA
"Papilio machaon","total insect","ssp245_2071",1177892,71.27,31.75,-62.54,-168.94,62.31,59.65,-108.1,-122.48,658190,1036595,519702,-158,88,-90,-19,48.83,NA
"Papilio machaon","total insect","ssp370_2041",1155010,71.27,31.77,-67.77,-168.94,60.56,59.1,-109.85,-122.19,602969,1004256,552041,-185,74,-129,-16,48.61,NA
"Papilio machaon","total insect","ssp370_2071",1339772,71.75,31.75,-62.65,-168.94,65.31,59.31,-110.35,-124.25,837185,1053709,502588,223,70,-84,-43,51,NA
"Papilio machaon","insect + host","current",645332,68.6,33.33,-95.56,-164.08,58.9,57.46,-110.69,-120.6,NA,NA,NA,NA,NA,NA,NA,NA,83.77
"Papilio machaon","insect + host","ssp245_2041",563323,61.23,31.65,-105.56,-158.77,51.19,40.19,-112.15,-120.81,391342,473351,171980,-450,46,-152,-67,NA,83.45
"Papilio machaon","insect + host","ssp245_2071",575136,69.12,31.75,-79.23,-144.46,51.02,40.77,-112.06,-121.06,407666,477862,167470,-441,102,-115,-41,NA,76.4
"Papilio machaon","insect + host","ssp370_2041",561409,61.27,31.77,-105.6,-151.77,50.83,40.44,-112.17,-121.08,395446,479369,165962,-474,84,-122,-56,NA,77.79
"Papilio machaon","insect + host","ssp370_2071",683222,70.56,31.75,-76.58,-160.98,59.15,58.31,-112.65,-121.56,518250,480360,164972,-232,186,-113,-67,NA,62.5
"Papilio multicaudata","total insect","current",720477,52.42,16.1,-95.79,-123.23,42.9,32.06,-103.48,-113.38,NA,NA,NA,NA,NA,NA,NA,74.83,NA
"Papilio multicaudata","total insect","ssp245_2041",1306088,51.81,16.06,-92.13,-123.19,43.65,31.44,-103.56,-117.31,861049,275437,445039,-28,5,-7,-7,82.32,NA
"Papilio multicaudata","total insect","ssp245_2071",1208653,51.83,16.23,-96.17,-123.19,43.6,32.48,-104.44,-118.31,834724,346547,373929,-93,37,-13,-3,84.59,NA
"Papilio multicaudata","total insect","ssp370_2041",1228867,51.75,16.15,-96.1,-123.27,43.35,32.56,-104.31,-118.19,817760,309370,411107,-93,18,-13,-3,82.4,NA
"Papilio multicaudata","total insect","ssp370_2071",970382,52.12,16.15,-92.25,-123.33,44.12,32.71,-104.75,-118.31,659462,409556,310920,-46,23,-17,0,85.1,NA
"Papilio multicaudata","insect + host","current",539103,52.19,16.46,-96.35,-123.23,42.9,32.52,-104.31,-113.98,NA,NA,NA,NA,NA,NA,NA,NA,62.02
"Papilio multicaudata","insect + host","ssp245_2041",1075123,51.81,16.23,-94.19,-123.19,43.73,32.81,-104.19,-118.31,768042,232022,307081,-9,5,-4,-8,NA,26.49
"Papilio multicaudata","insect + host","ssp245_2071",1022357,51.83,16.29,-96.23,-123.19,43.9,33.35,-104.56,-118.52,763164,279910,259193,-60,46,-7,-6,NA,20.23
"Papilio multicaudata","insect + host","ssp370_2041",1012536,51.75,16.27,-96.23,-123.27,43.6,33.31,-104.6,-118.56,734132,260698,278404,-79,32,-8,-7,NA,25.44
"Papilio multicaudata","insect + host","ssp370_2071",825778,52.12,16.6,-96.27,-123.33,44.52,33.27,-104.94,-118.52,602218,315543,223560,-25,23,-13,-6,NA,20.47
