"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host","phost_insect"
"Papilio polyxenes","insect + host","ssp245_2071",460231,50.04,17.77,-55.12,-114.06,45.44,39.73,-88.1,-96.69,207167,1388550,253063,5,841,-1042,82,NA,3.1187,NA
"Papilio polyxenes","insect + host","ssp370_2041",449031,49.98,17.13,-54.92,-111.02,44.94,39.06,-86.85,-96.52,177565,1370147,271466,-21,776,-892,94,NA,2.5664,NA
"Papilio polyxenes","insect + host","ssp370_2071",691537,50.92,16.81,-54.79,-111.98,46.77,39.56,-83.44,-95.69,329080,1279156,362457,181,906,-906,39,NA,2.6978,NA
"Papilio polyxenes","insect + host","ssp585_2041",443028,49.69,17.25,-55.06,-110.94,45.06,39.27,-88.33,-96.44,181430,1380016,261598,-7,874,-1177,106,NA,2.3723,NA
"Papilio polyxenes","insect + host","ssp585_2071",737005,51.94,18.94,-54.85,-111.88,48.06,39.81,-81.31,-94.94,399722,1304330,337283,276,955,-967,64,NA,2.6709,NA
"Papilio rumiko","total insect","current",476741,36.06,15.69,-86.77,-120.92,29.81,20.65,-97.15,-108.02,NA,NA,NA,NA,NA,NA,NA,63.8387,NA,NA
"Papilio rumiko","total insect","ssp245_2041",355954,38.94,16.27,-86.79,-122.94,24.6,19.9,-97.85,-110.06,205068,325856,150885,-9,5,-9,8,58.051,NA,NA
"Papilio rumiko","total insect","ssp245_2071",373989,38.94,16.23,-86.79,-122.94,25.65,19.75,-97.81,-110.06,218902,321654,155087,-5,5,-8,12,59.873,NA,NA
"Papilio rumiko","total insect","ssp370_2041",362961,38.94,16.23,-86.79,-122.94,23.96,19.65,-97.81,-110.06,207468,321248,155493,-5,5,-8,9,58.8343,NA,NA
"Papilio rumiko","total insect","ssp370_2071",492222,38.98,15.81,-86.79,-122.94,27.1,19.69,-97.81,-109.98,301198,285717,191025,-5,5,-4,12,57.5834,NA,NA
"Papilio rumiko","total insect","ssp585_2041",361395,38.94,16.23,-86.79,-122.94,23.98,19.85,-97.81,-110.06,211623,326969,149772,-18,5,-8,10,58.1105,NA,NA
"Papilio rumiko","total insect","ssp585_2071",489984,38.98,16.19,-86.79,-122.94,27.1,19.77,-97.85,-107.85,308310,295068,181674,-5,9,-8,18,57.3823,NA,NA
"Papilio rumiko","insect + host","current",304346,36.06,15.77,-93.92,-120.92,30.52,23.81,-97.31,-102.94,NA,NA,NA,NA,NA,NA,NA,NA,56.3563,NA
"Papilio rumiko","insect + host","ssp245_2041",206634,38.9,16.35,-86.81,-122.94,26.19,21.6,-98.67,-106.06,128158,225869,78477,-28,5,-4,4,NA,70.5185,NA
"Papilio rumiko","insect + host","ssp245_2071",223919,38.9,16.35,-86.81,-122.94,26.38,21.56,-97.9,-105.94,138976,219403,84943,-9,5,-4,4,NA,68.6912,NA
"Papilio rumiko","insect + host","ssp370_2041",213546,38.87,16.31,-86.81,-122.94,25.6,21.52,-97.85,-106.06,129395,220196,84150,-14,5,-4,4,NA,69.0477,NA
"Papilio rumiko","insect + host","ssp370_2071",283438,38.9,16.4,-86.81,-122.94,27.17,21.23,-97.85,-105.77,175832,196740,107606,-5,5,-4,4,NA,61.5419,NA
"Papilio rumiko","insect + host","ssp585_2041",210008,38.87,16.44,-86.81,-122.94,25.27,21.6,-97.85,-106.06,130687,225024,79322,-23,5,-4,4,NA,70.9722,NA
"Papilio rumiko","insect + host","ssp585_2071",281164,38.9,16.46,-86.79,-122.94,27.21,21.6,-97.85,-105.94,172204,195386,108960,-5,5,-4,4,NA,60.193,NA
"Papilio rutulus","total insect","current",592013,51.65,30.85,-104.85,-125.81,49.15,35.98,-112.06,-123.98,NA,NA,NA,NA,NA,NA,NA,99.9885,NA,NA
"Papilio rutulus","total insect","ssp245_2041",1060921,55.1,28.69,-104,-128,47.77,35.31,-109.42,-123.35,646401,177492,414521,-28,0,19,4,99.9172,NA,NA
"Papilio rutulus","total insect","ssp245_2071",1028415,54.58,29.17,-104.17,-127.94,48.19,35.48,-111.4,-123.6,607281,170879,421134,-5,0,11,4,99.98,NA,NA
"Papilio rutulus","total insect","ssp370_2041",1050418,55.13,28.71,-104.1,-128,47.96,35.31,-109.25,-123.54,629422,171016,420997,0,0,19,4,99.9341,NA,NA
"Papilio rutulus","total insect","ssp370_2071",1069048,51.67,31.15,-104.94,-126.06,48.94,36.23,-110.98,-123.81,621444,144409,447604,-19,0,10,3,100,NA,NA
"Papilio rutulus","total insect","ssp585_2041",1023308,51.33,28.83,-104.17,-125.19,47.75,35.44,-111.06,-123.52,607726,176430,415583,-51,0,12,4,99.9671,NA,NA
"Papilio rutulus","total insect","ssp585_2071",1004499,52.33,31.44,-104.94,-126.87,49.31,37.17,-109.83,-123.94,580671,168184,423828,-5,5,0,0,100,NA,NA
"Papilio rutulus","insect + host","current",591945,51.65,30.85,-104.85,-125.81,49.15,35.98,-112.06,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,0.481,NA
"Papilio rutulus","insect + host","ssp245_2041",1060043,55.1,28.69,-104,-128,47.77,35.31,-110.33,-123.4,645522,177424,414521,-28,0,19,4,NA,0.1209,NA
"Papilio rutulus","insect + host","ssp245_2071",1028209,54.58,29.21,-104.17,-127.94,48.19,35.48,-111.4,-123.6,607076,170811,421134,-5,0,11,4,NA,0.0597,NA
"Papilio rutulus","insect + host","ssp370_2041",1049727,55.13,28.71,-104.1,-128,47.96,35.31,-109.27,-123.56,628730,170948,420997,0,0,19,4,NA,0.1041,NA
"Papilio rutulus","insect + host","ssp370_2071",1069048,51.67,31.15,-104.94,-126.06,48.94,36.23,-110.98,-123.81,621444,144341,447604,-19,0,10,3,NA,0.0332,NA
"Papilio rutulus","insect + host","ssp585_2041",1022972,51.33,28.83,-104.17,-125.19,47.75,35.44,-111.17,-123.56,607389,176362,415583,-51,0,12,4,NA,0.0467,NA
"Papilio rutulus","insect + host","ssp585_2071",1004499,52.33,31.44,-104.94,-126.87,49.31,37.17,-109.83,-123.94,580671,168116,423828,-5,5,0,0,NA,0.0149,NA
"Papilio troilus","total insect","current",817534,44.25,26.65,-69.96,-95.85,42.6,30.48,-78.19,-88.23,NA,NA,NA,NA,NA,NA,NA,93.1591,NA,NA
"Papilio troilus","total insect","ssp245_2041",363115,47.08,25.98,-73.13,-97.04,44.4,38.9,-81.6,-87.52,236490,690909,126625,125,714,-408,-7,99.832,NA,NA
"Papilio troilus","total insect","ssp245_2071",361559,47.08,25.96,-73.06,-96.96,44.77,40.06,-81.06,-87.81,252796,708771,108763,222,791,-405,-80,99.9837,NA,NA
"Papilio troilus","total insect","ssp370_2041",369723,47.08,25.94,-73.13,-96.94,44.48,39.02,-81.44,-87.48,246586,694397,123137,139,648,-331,-18,99.9519,NA,NA
"Papilio troilus","total insect","ssp370_2071",276551,47.08,26.21,-73.65,-89.38,46.23,41.6,-80.56,-87.44,194508,735491,82043,338,870,-238,0,99.9841,NA,NA
"Papilio troilus","total insect","ssp585_2041",385384,47.08,25.77,-73.06,-96.56,44.6,39.5,-81.19,-87.56,266875,699025,118508,208,818,-443,-4,99.9886,NA,NA
"Papilio troilus","total insect","ssp585_2071",221592,47.08,26.44,-73.15,-89.46,46.35,42.02,-80.6,-87.4,159676,755618,61916,352,883,-41,0,99.9734,NA,NA
"Papilio troilus","insect + host","current",761607,44.23,26.65,-69.96,-95.73,42.56,30.48,-77.98,-87.44,NA,NA,NA,NA,NA,NA,NA,NA,14.5159,NA
"Papilio troilus","insect + host","ssp245_2041",362505,47.06,25.98,-73.13,-97.04,44.4,38.9,-81.6,-87.52,241782,640884,120723,130,714,-401,-27,NA,4.7271,NA
"Papilio troilus","insect + host","ssp245_2071",361501,47.06,25.96,-73.06,-96.96,44.77,40.06,-81.06,-87.81,255203,655310,106297,234,791,-398,-101,NA,5.7449,NA
"Papilio troilus","insect + host","ssp370_2041",369545,47.06,25.94,-73.13,-96.94,44.48,39.02,-81.44,-87.48,249078,641140,120467,162,648,-287,-54,NA,5.8577,NA
"Papilio troilus","insect + host","ssp370_2071",276507,47.06,26.21,-73.65,-89.38,46.23,41.6,-80.56,-87.44,195335,680435,81172,343,870,-242,0,NA,9.0591,NA
"Papilio troilus","insect + host","ssp585_2041",385340,47.06,25.77,-73.06,-96.56,44.6,39.5,-81.19,-87.56,270202,646469,115138,218,818,-440,-7,NA,5.6208,NA
"Papilio troilus","insect + host","ssp585_2071",221533,47.06,26.44,-73.15,-89.46,46.35,42.02,-80.6,-87.4,160359,700433,61174,352,883,-48,0,NA,8.5093,NA
"Papilio zelicaon","total insect","current",632550,54.81,30.1,-103.71,-127.17,50.1,37.48,-113.31,-123.94,NA,NA,NA,NA,NA,NA,NA,99.9976,NA,NA
"Papilio zelicaon","total insect","ssp245_2041",720596,55.17,31.52,-105.15,-128.04,48.81,37.81,-114.69,-123.4,459693,371647,260903,-60,0,-110,4,99.9037,NA,NA
"Papilio zelicaon","total insect","ssp245_2071",744023,55.19,31.52,-105.17,-128.02,48.69,38.1,-115.15,-123.48,466120,354647,277903,-42,0,-115,4,99.8437,NA,NA
"Papilio zelicaon","total insect","ssp370_2041",732978,55.17,31.52,-105.19,-128,48.69,38.06,-115.02,-123.4,462198,361770,270780,-42,0,-109,4,99.8899,NA,NA
"Papilio zelicaon","total insect","ssp370_2071",823811,54.19,31.52,-105.35,-125.56,49.23,38.31,-114.94,-123.52,494320,303060,329490,-79,5,-123,4,99.9701,NA,NA
"Papilio zelicaon","total insect","ssp585_2041",727372,54.19,31.56,-105.23,-125.19,48.52,38.35,-115.23,-123.35,457632,362810,269740,-134,0,-150,4,99.9142,NA,NA
"Papilio zelicaon","total insect","ssp585_2071",801216,51.73,31.56,-105.4,-125.69,49.31,38.9,-114.62,-123.56,470207,301541,331009,-74,5,-123,4,99.9678,NA,NA
"Papilio zelicaon","insect + host","current",632535,54.81,30.1,-103.71,-127.17,50.1,37.48,-113.31,-123.94,NA,NA,NA,NA,NA,NA,NA,NA,1.4696,NA
"Papilio zelicaon","insect + host","ssp245_2041",719902,55.17,31.52,-105.15,-128.04,48.81,37.81,-114.69,-123.4,459152,371785,260749,-60,0,-110,4,NA,3.1185,NA
"Papilio zelicaon","insect + host","ssp245_2071",742860,55.19,31.52,-105.17,-128.02,48.69,38.1,-115.15,-123.48,465208,354882,277652,-42,0,-115,4,NA,2.757,NA
"Papilio zelicaon","insect + host","ssp370_2041",732171,55.17,31.52,-105.19,-128,48.69,38.06,-115.06,-123.4,461643,362006,270529,-42,0,-109,4,NA,2.7601,NA
"Papilio zelicaon","insect + host","ssp370_2071",823565,54.19,31.52,-105.35,-125.56,49.23,38.31,-114.94,-123.52,494143,303113,329422,-79,5,-123,4,NA,2.0834,NA
"Papilio zelicaon","insect + host","ssp585_2041",726747,54.19,31.56,-105.23,-125.19,48.52,38.35,-115.23,-123.35,457147,362934,269600,-134,0,-150,4,NA,2.576,NA
"Papilio zelicaon","insect + host","ssp585_2071",800958,51.73,31.56,-105.4,-125.69,49.31,38.9,-114.62,-123.56,470018,301595,330939,-74,5,-123,4,NA,1.3103,NA
