"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host","phost_insect"
"Papilio canadensis","total insect","ssp585_2071",1260889,67.02,42.71,-53,-161.58,59.06,50.27,-79.98,-128.17,908021,1362648,352868,176,81,193,-237,96.2028,NA,NA
"Papilio canadensis","insect + host","current",1601738,65.1,40.94,-52.69,-154.75,50.65,47.98,-106.4,-123.56,NA,NA,NA,NA,NA,NA,NA,NA,13.6642,NA
"Papilio canadensis","insect + host","ssp245_2041",869912,63.56,41.29,-52.69,-158.06,51.23,48.02,-109.54,-125.71,366277,1098104,503634,23,14,-3,-89,NA,12.3545,NA
"Papilio canadensis","insect + host","ssp245_2071",925489,64.38,41.27,-52.71,-161.67,52.56,48.77,-107.02,-126.52,517378,1193628,408110,51,28,0,-205,NA,13.3795,NA
"Papilio canadensis","insect + host","ssp370_2041",962319,63.73,41.27,-52.69,-158.71,51.81,48.31,-106.27,-126.23,434130,1073550,528188,42,19,0,-158,NA,11.7618,NA
"Papilio canadensis","insect + host","ssp370_2071",1168313,66.9,42.46,-52.77,-162.15,54.31,49.27,-107.1,-126.94,775468,1208893,392845,93,65,72,-255,NA,7.837,NA
"Papilio canadensis","insect + host","ssp585_2041",985730,64.23,41.31,-52.69,-161.65,52.4,48.77,-106.4,-126.48,521541,1137549,464189,60,46,1,-217,NA,12.2016,NA
"Papilio canadensis","insect + host","ssp585_2071",1213010,67,42.71,-53,-161.56,57.85,50.23,-79.94,-128.1,921788,1310516,291222,167,84,308,-233,NA,9.0355,NA
"Papilio cresphontes","total insect","current",1031379,46.85,24.6,-68.69,-98.44,44.52,30.06,-76.44,-94.56,NA,NA,NA,NA,NA,NA,NA,75.1987,NA,NA
"Papilio cresphontes","total insect","ssp245_2041",1058922,48.81,20.73,-70.4,-100.27,45.65,29.65,-81.1,-97.27,584247,556704,474675,190,5,-16,-108,64.6213,NA,NA
"Papilio cresphontes","total insect","ssp245_2071",1355938,50.27,20.73,-69.83,-100.94,46.52,29.65,-80.96,-98.31,852722,528163,503216,301,5,-11,-141,62.1671,NA,NA
"Papilio cresphontes","total insect","ssp370_2041",1237439,48.92,20.73,-70.06,-100.77,45.9,29.65,-80.96,-98.23,722546,516486,514893,213,5,-13,-136,65.0102,NA,NA
"Papilio cresphontes","total insect","ssp370_2071",2066433,51.31,20.73,-65.33,-101.48,49.48,29.69,-80.19,-98.48,1410233,375178,656201,560,0,-4,-222,64.0326,NA,NA
"Papilio cresphontes","total insect","ssp585_2041",1373149,50.15,20.73,-65.5,-100.94,46.4,29.69,-81.02,-98.31,837577,495808,535571,264,5,-8,-142,63.4401,NA,NA
"Papilio cresphontes","total insect","ssp585_2071",2323354,51.52,20.73,-64.88,-101.67,51.15,29.69,-80.1,-98.4,1661786,369810,661569,720,0,-4,-258,61.0202,NA,NA
"Papilio cresphontes","insect + host","current",775584,46.46,25.98,-70.04,-98.44,44.31,32.27,-76.23,-93.9,NA,NA,NA,NA,NA,NA,NA,NA,41.5003,NA
"Papilio cresphontes","insect + host","ssp245_2041",684289,48.81,21.23,-70.44,-99.33,45.77,38.81,-87.02,-95.19,368558,459853,315731,192,588,-1068,-64,NA,52.9079,NA
"Papilio cresphontes","insect + host","ssp245_2071",842948,50.27,20.94,-69.83,-99.4,46.6,39.46,-86.81,-95.19,506801,439438,336146,287,602,-1034,-77,NA,56.1789,NA
"Papilio cresphontes","insect + host","ssp370_2041",804461,48.92,21.02,-70.06,-99.38,45.94,38.77,-85.85,-95.35,452683,423806,351779,208,556,-990,-71,NA,53.0178,NA
"Papilio cresphontes","insect + host","ssp370_2071",1323190,51.23,20.73,-69.56,-98.69,49.08,38.81,-83.23,-95.48,851396,303790,471794,519,377,-794,-76,NA,59.7997,NA
"Papilio cresphontes","insect + host","ssp585_2041",871127,50.15,20.98,-69.85,-99.31,46.44,38.69,-86.1,-95.1,498139,402596,372988,245,556,-998,-77,NA,55.9577,NA
"Papilio cresphontes","insect + host","ssp585_2071",1417715,51.52,20.73,-68,-98.75,50.02,39.19,-82.79,-95.56,951144,309014,466571,639,370,-805,-59,NA,60.1373,NA
"Papilio eurymedon","total insect","current",619562,51.81,30.85,-105.15,-126.98,50.23,39.19,-116.02,-123.98,NA,NA,NA,NA,NA,NA,NA,97.9379,NA,NA
"Papilio eurymedon","total insect","ssp245_2041",845119,54.81,32.88,-104.35,-127.9,49.27,37.31,-110.77,-123.56,445707,220150,399412,74,0,334,4,99.5453,NA,NA
"Papilio eurymedon","total insect","ssp245_2071",837597,54.98,32.96,-104.92,-127.92,49.4,37.44,-110.73,-123.77,440007,221971,397590,134,5,343,4,99.7871,NA,NA
"Papilio eurymedon","total insect","ssp370_2041",849423,54.81,32.88,-104.42,-127.92,49.44,37.35,-110.85,-123.73,441597,211735,407827,125,5,341,4,99.5762,NA,NA
"Papilio eurymedon","total insect","ssp370_2071",863043,54.98,33.35,-105.04,-127.23,49.56,38.31,-111.65,-123.83,449270,205788,413773,65,5,281,3,99.9779,NA,NA
"Papilio eurymedon","total insect","ssp585_2041",836558,54.69,32.96,-104.94,-127.19,49.12,37.88,-111.4,-123.6,436722,219726,399836,5,5,289,4,99.7266,NA,NA
"Papilio eurymedon","total insect","ssp585_2071",821183,54.92,33.73,-105.02,-127.19,49.65,38.65,-112.52,-123.81,420465,218844,400718,81,5,144,4,99.97,NA,NA
"Papilio eurymedon","insect + host","current",606786,51.77,30.85,-105.15,-126.98,50.19,39.19,-116.02,-123.98,NA,NA,NA,NA,NA,NA,NA,NA,5.2849,NA
"Papilio eurymedon","insect + host","ssp245_2041",841276,54.81,32.88,-104.35,-127.17,49.17,37.31,-110.77,-123.56,443893,209402,397383,72,0,336,4,NA,1.7634,NA
"Papilio eurymedon","insect + host","ssp245_2071",835814,54.98,32.96,-104.92,-127.92,49.4,37.44,-110.73,-123.77,440561,211532,395254,134,2,343,4,NA,1.1956,NA
"Papilio eurymedon","insect + host","ssp370_2041",845823,54.81,32.88,-104.42,-127.92,49.4,37.31,-110.85,-123.73,440431,201393,405392,121,5,341,4,NA,1.6721,NA
"Papilio eurymedon","insect + host","ssp370_2071",862852,54.98,33.35,-105.04,-127.23,49.56,38.31,-111.65,-123.83,453680,197613,409172,65,2,279,3,NA,0.555,NA
"Papilio eurymedon","insect + host","ssp585_2041",834271,54.69,32.96,-104.94,-127,49.1,37.83,-111.4,-123.6,436946,209460,397326,5,5,289,4,NA,1.2304,NA
"Papilio eurymedon","insect + host","ssp585_2071",820937,54.92,33.73,-105.02,-127.19,49.65,38.65,-112.52,-123.81,425471,211320,395466,83,5,144,4,NA,0.6701,NA
"Papilio glaucus","total insect","current",1194938,45.37,27.19,-69.98,-98.92,42.94,30.4,-76.6,-93.98,NA,NA,NA,NA,NA,NA,NA,99.9239,NA,NA
"Papilio glaucus","total insect","ssp245_2041",205345,47.23,29.52,-72.6,-95.42,42.02,33.85,-77.4,-85.94,51517,1041110,153828,-69,5,-8,622,100,NA,NA
"Papilio glaucus","total insect","ssp245_2071",278253,47.48,29.5,-72.1,-95.35,43.19,34.42,-77.9,-87.06,103998,1020683,174255,0,19,-20,498,100,NA,NA
"Papilio glaucus","total insect","ssp370_2041",215395,47.21,29.52,-72.69,-95.35,42.02,33.81,-77.9,-87.06,66922,1046466,148473,-65,9,-15,556,100,NA,NA
"Papilio glaucus","total insect","ssp370_2071",280970,47.48,30.9,-70.85,-94.42,43.17,36.33,-76.52,-88.02,143379,1057347,137591,5,556,-27,370,100,NA,NA
"Papilio glaucus","total insect","ssp585_2041",222990,47.48,29.52,-72.56,-95.33,43.19,34.15,-77.85,-86.69,80070,1052017,142921,0,14,-15,582,100,NA,NA
"Papilio glaucus","total insect","ssp585_2071",246705,49.56,33.85,-70.23,-95.06,45.48,39.73,-75.98,-88.52,147186,1095420,99519,204,878,-37,379,100,NA,NA
"Papilio glaucus","insect + host","current",1194029,45.37,27.19,-69.98,-98.92,42.94,30.4,-76.6,-93.98,NA,NA,NA,NA,NA,NA,NA,NA,1.0698,NA
"Papilio glaucus","insect + host","ssp245_2041",205345,47.23,29.52,-72.6,-95.42,42.02,33.85,-77.4,-85.94,51569,1040253,153777,-69,5,-8,622,NA,0,NA
"Papilio glaucus","insect + host","ssp245_2071",278253,47.48,29.5,-72.1,-95.35,43.19,34.42,-77.9,-87.06,104067,1019843,174187,0,19,-20,498,NA,0,NA
"Papilio glaucus","insect + host","ssp370_2041",215395,47.21,29.52,-72.69,-95.35,42.02,33.81,-77.9,-87.06,66974,1045608,148421,-65,9,-15,556,NA,0,NA
"Papilio glaucus","insect + host","ssp370_2071",280970,47.48,30.9,-70.85,-94.42,43.17,36.33,-76.52,-88.02,143447,1056507,137522,5,556,-27,370,NA,0,NA
"Papilio glaucus","insect + host","ssp585_2041",222990,47.48,29.52,-72.56,-95.33,43.19,34.15,-77.85,-86.69,80138,1051177,142852,0,14,-15,582,NA,0,NA
