"insect","distribution","climate","area_sqkm","area_protected_sqkm","proportion_protected"
"Papilio appalachiensis","total insect","current",54526.2032801731,12909.4505543218,0.23675682108268
"Papilio appalachiensis","total insect","ssp245_2041",0,0,NA
"Papilio appalachiensis","total insect","ssp245_2071",0,0,NA
"Papilio appalachiensis","total insect","ssp370_2041",0,0,NA
"Papilio appalachiensis","total insect","ssp370_2071",0,0,NA
"Papilio appalachiensis","total insect","ssp585_2041",0,0,NA
"Papilio appalachiensis","total insect","ssp585_2071",0,0,NA
"Papilio appalachiensis","insect + host","current",38055.7936877348,8119.51698538732,0.213358235332356
"Papilio appalachiensis","insect + host","ssp245_2041",0,0,NA
"Papilio appalachiensis","insect + host","ssp245_2071",0,0,NA
